,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
356,МКОУ СОШ № 6 г. Буйнакск,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
357,МКОУ СОШ №10 ИМ. А.И. ИСМАИЛОВА,МОУ СОШ № 10,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Датуева, 70","43,240517","46,601008",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
358,МКОУ СОШ №11 г. Буйнакск,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
359,МКОУ СОШ №11 г. Буйнакск,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
360,МКОУ СОШ №12 ИМ.Л.Н.ТОЛСТОГО,МОУ СОШ № 12,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул.40 лет Октября","43,270317","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
361,МКОУ СОШ №17,МОУ СОШ № 17,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Новая, 2","43,222743","46,603792",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
362,МКОУ СОШ №6  г. Буйнакск,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
363,МКОУ СОШ НИЖНИЙ ДЖАЛГАН,,,,,,,,,,,,,,
364,МКОУ ССОШ,,,,,,,,,,,,,,
365,МКОУ СТ. КАРЛАНЮРТОВСКАЯ СОШ,МОУ Ст.Карланюртовская СОШ,Хасавюртовский район,Село,Карланюрт,"Республика Дагестан, Хасавюртовский район, с. Карланюрт","43,231324","46,646674",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
366,МКОУ СТАЛЬСКАЯ ГИМНАЗИЯ,МОУ Стальская гимназия,Кизилюртовский район,Село,Стальское,"Республика Дагестан, Кизилюртовский район, с. Стальское","43,191389","46,966944",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
367,МКОУ СТАЛЬСКАЯ СОШ № 2,МОУ Стальская СОШ №2,Кизилюртовский район,Село,Стальское,"Республика Дагестан, Кизилюртовский район, с. Стальское","43,191558","46,967130",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
368,МКОУ СТАЛЬСКАЯ СОШ № 3,МОУ Стальская СОШ №3,Кизилюртовский район,Село,Стальское,"Республика Дагестан, Кизилюртовский район, с. Стальское","43,191389","46,966944",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
369,МКОУ Степновская ООШ,"МОУ ""Степновская ООШ""",Кизлярский район,Поселок,Степной,"Республика Дагестан, Кизлярский район, п. Степной","43,894619","46,491071",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
370,МКОУ СУЛТАНЯНГИЮРТОВСКАЯ СОШ №2,МОУ Султанянгиюртовская СОШ № 2,Кизилюртовский район,Село,Султанянгиюрт,"Республика Дагестан, Кизилюртовский район, с. Султанянгиюрт, ул. Школьная","43,216868","46,868814",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
371,МКОУ Султанянгиюртовская СОШ,МОУ Султанянгиюртовская СОШ № 2,Кизилюртовский район,Село,Султанянгиюрт,"Республика Дагестан, Кизилюртовский район, с. Султанянгиюрт, ул. Школьная","43,216868","46,868814",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
372,МКОУ СУМБАТЛИНСКАЯ ООШ,,,,,,,,,,,,,,
373,МКОУ СУРХАЧИНСКАЯ ООШ,,,,,,,,,,,,,,
374,МКОУ СЮГЮТСКАЯ СОШ ИМ. М.МИТАРОВА,,,,,,,,,,,,,,
375,МКОУ ТАГЗИРКЕНТСКАЯ ООШ,,,,,,,,,,,,,,
376,МКОУ Таловская СОШ,МОУ Таловская СОШ,Тарумовский район,Село,Таловка,"Республика Дагестан, Тарумовский район, с. Таловка","44,238027","46,590346",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
377,МКОУ ТАНДОВСКАЯ СОШ,МОУ Тандовская СОШ,Ботлихский район,Село,Тандо,"Республика Дагестан, Ботлихский район с. Тандо","42,707244","46,176134",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
378,МКОУ Танусинская СОШ им. Шамхалова,"МОУ ""Танусинская СОШ""",Хунзахский район,Село,Тануси,"Республика Дагестан, Хунзахский район, с. Тануси","42,581389","46,694352",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
379,МКОУ ТАСУТИНСКАЯ ООШ,МОУ Тасутинская ООШ,Ботлихский район,Село,Тасута,"Республика Дагестан, Ботлихский район с. Тасута","42,716130","46,225773",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
380,МКОУ ТЕМИРАУЛЬСКАЯ СО,МОУ Темираульская СОШ,Хасавюртовский район,Село,Темираул,"Республика Дагестан, Хасавюртовский район, с. Темираул","43,253443","46,824796",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
381,МКОУ ТЕМИРАУЛЬСКАЯ СОШ,МОУ Темираульская СОШ,Хасавюртовский район,Село,Темираул,"Республика Дагестан, Хасавюртовский район, с. Темираул","43,253443","46,824796",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
382,МКОУ ТЕРЕЧНАЯ СОШ,МОУ Теречная СОШ,Хасавюртовский район,Село,Теречное,"Республика Дагестан, Хасавюртовский район, с. Теречное","43,431957","46,398632",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
383,МКОУ Теркли-мектебская СОШ,,,,,,,,,,,,,,
384,МКОУ Тидибская СОШ,"МОУ ""Тидибская СОШ""",Шамильский район,Село,Тидиб,"Республика Дагестан, Шамильский район, с. Тидиб","42,388444","46,572397",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
385,МКОУ ТИЛАГИНСКАЯ ООШ,"МОУ ""Тилагинская ООШ""",Левашинский район,Село,Тилагу,"Республика Дагестан, Левашинский район с. Тилагу","42,424219","47,100267",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
386,МКОУ ТИНИТСКАЯ СОШ,МОУ Тинитская СОШ,Табасаранский район,Село,Тиниг,"Республика Дагестан, Табасаранский район, с. Тиниг","41,912432","48,053489",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
387,МКОУ ТЛОГОБСКАЯ СОШ,МОУ Тлогобская СОШ,Гунибский район,Село,Куяда,"Республика Дагестан, Гунибский район, с. Куяда","42,418941","46,814247",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
388,МКОУ ТЛОХСКАЯ СОШ,МОУ Тлохская СОШ,Ботлихский район,Село,Тлох,"Республика Дагестан, Ботлихский район с. Тлох","42,674192","46,466841",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
389,МКОУ ТЛЯНУБСКАЯ СОШ,,,,,,,,,,,,,,
390,МКОУ Тляхская СОШ,"МОУ ""Тляхская СОШ""",Шамильский район,Село,Тлях,"Республика Дагестан, Шамильский район, с. Тлях","42,389828","46,539435",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
391,МКОУ Тогохская СОШ,"МОУ ""Тогохская СОШ""",Шамильский район,Село,Тогох,"Республика Дагестан, Шамильский район, с. Тогох","42,502053","46,574547",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
392,МКОУ ТОТУРБИЙКАЛИНСКАЯ СОШ,МОУ Тотурбийкалинская СОШ,Хасавюртовский район,Село,Тотурбийкала,"Республика Дагестан, Хасавюртовский район, с. Тотурбийкала","43,207912","46,689533",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
393,МКОУ ТСОШ,,,,,,,,,,,,,,
394,МКОУ ТУРАГСКАЯ СОШ,МОУ Турагская СОШ,Табасаранский район,Село,Тураг,"Республика Дагестан, Табасаранский район, с. Тураг","41,860318","47,971978",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
395,МКОУ ТУРУФСКАЯ СОШ,МОУ Туруфская СОШ,Табасаранский район,Село,Туруф,"Республика Дагестан, Табасаранский район, с. Туруф","41,905140","48,006497",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
396,МКОУ ТУХЧАРСКАЯ СОШ №1,"МБОУ ""Тухчарская СОШ""",Новолакский район,Село,Тухчар,"Республика Дагестан, Новолакский район, с. Тухчар, ул. Первая, 10","43,219312","46,410066",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
397,МКОУ ТУХЧАРСКАЯ СОШ,"МБОУ ""Тухчарская СОШ""",Новолакский район,Село,Тухчар,"Республика Дагестан, Новолакский район, с. Тухчар, ул. Первая, 10","43,219312","46,410066",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
398,МКОУ Тушиловская ООШ,"МОУ ""Тушиловская ООШ""",Кизлярский район,Село,Тушиловка,"Республика Дагестан, Кизлярский район, с. Тушиловка","44,309418","46,881245",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
399,МКОУ ТЮБИНСКАЯ ВСОШ,,,,,,,,,,,,,,
400,МКОУ ТЮПКУТАНСКАЯ СОШ,"МОУ ""Тюпкутанская СОШ""",Бабаюртовский район,Село,Тюпкутан,"Республика Дагестан, Бабаюртовский район, с. Тюпкутан.","43,583848","46,823366",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
401,МКОУ УЙ-САЛГАНСКАЯ ООШ,МОУ Уй-Салганская ООШ,Ногайский район,Село,Уй-Салган,"Республика Дагестан, Ногайский район, с. Уй-Салган","44,221921","45,154740",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
402,МКОУ УЛЛУГАТАГСКАЯ СОШ,"МОУ ""Уллугатагская СОШ""",Сулейман-Стальский район,Село,Уллугатаг,"Республика Дагестан, Сулейман-стальский район, с. Уллугатаг","41,605000","48,126389",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
403,МКОУ УЛУЗСКАЯ ООШ,МОУ Улузская ООШ,Табасаранский район,Село,Улуз,"Республика Дагестан, Табасаранский район, с. Улуз","41,958124","47,837844",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
404,МКОУ УМЛ,,,,,,,,,,,,,,
405,МКОУ УНТЫНСКАЯ ООШ,,,,,,,,,,,,,,
406,МКОУ УНЧУКАТЛИНСКАЯ СОШ,МОУ Унчукатлинская СОШ,Лакский район,Село,Унчукатль,"Республика Дагестан, Лакский район, с. Унчукатль","42,221037","47,151671",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
407,МКОУ Урадинская СОШ,"МОУ ""Урадинская СОШ""",Шамильский район,Село,Урада,"Республика Дагестан, Шамильский район, с. Урада","42,384673","46,557880",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
408,МКОУ УРАЛИНСКАЯ СОШ,МОУ Уралинская СОШ,Гунибский район,Село,Куяда,"Республика Дагестан, Гунибский район, с. Куяда","42,418941","46,814247",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
409,МКОУ УРАХИНСКАЯ СОШ,"МОУ ""Урахинская СОШ им А.О.Тахо-Годи""",Сергокалинский район,Село,Урахи,"Республика Дагестан, Сергокалинский район, с. Урахи","42,335499","47,596236",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
410,МКОУ УРГИНСКАЯ СОШ,"МБОУ""УРГИНСКАЯ СОШ""",Хивский район,Село,Урга,"Республика Дагестан, Хивский район, с. Урга","41,869925","47,855307",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
411,МКОУ УРИБСКАЯ ОСШ,,,,,,,,,,,,,,
412,МКОУ УРИНСКАЯ ООШ ЛАКСКОГО РАЙОНА,МОУ Уринская ООШ,Лакский район,Село,Ури,"Республика Дагестан, Лакский район, с. Ури.","42,206508","47,015712",Медь,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
413,МКОУ Уркарахская МГ,,,,,,,,,,,,,,
414,МКОУ УСОШ № 1,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
415,МКОУ УСОШ № 2,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
416,МКОУ УСУГСКАЯ СОШ,"МОУ ""Усугская СОШ""",Курахский район,Село,Усуг,"Республика Дагестан, Курахский район, с. Усуг","41,672140","47,594231",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
417,МКОУ УШНИГСКАЯ СОШ,МОУ Ушнигская СОШ,Табасаранский район,Село,Ушниг,"Республика Дагестан, Табасаранский район, с. Ушниг","41,926596","48,002222",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
418,МКОУ ФИРГИЛЬСКАЯ СОШ,МОУ Фиргильская СОШ,Табасаранский район,Село,Фиргиль,"Республика Дагестан, Табасаранский район, с. Фиргиль","41,924366","48,025298",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
419,МКОУ ФИТИНСКАЯ СОШ,"МБОУ""Фитинская СОШ""",Агульский район,Село,Фите,"Республика Дагестан, Агульский район, с. Фите.","41,791425","47,740263",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
420,МКОУ ХАДАГИНСКАЯ ООШ,,,,,,,,,,,,,,
421,МКОУ ХАЙХИНСКАЯ ОО ШКОЛА - САД,"МОУ""Хайхинская ООШ""",Кулинский район,Село,Хайхи,"Республика Дагестан, Кулинский район, с. Хайхи","42,119401","47,185696",Медь,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
422,МКОУ ХАЛАГСКАЯ СОШ,МОУ Халагская СОШ,Табасаранский район,Село,Халаг,"Республика Дагестан, Табасаранский район, с. Халаг","41,905870","47,889523",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
423,МКОУ ХАНАКСКАЯ ООШ,МОУ Ханакская ООШ,Табасаранский район,Село,Ханак,"Республика Дагестан, Табасаранский район, с. Ханак","41,913749","47,865688",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
424,МКОУ ХАСАНАЙСКАЯ СОШ,"МОУ ""Хасанайская СОШ""",Бабаюртовский район,Село,Хасанай,"Республика Дагестан, Бабаюртовский район, с. Хасанай.","43,628364","46,708505",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
425,МКОУ Хвартикунинская СОШ Герг-ий район,,,,,,,,,,,,,,
426,МКОУ ХВЕРЕДЖСКАЯ СОШ,"МОУ ""Хвереджская СОШ""",Курахский район,Село,Хвередж,"Республика Дагестан, Курахский район, с. Хвередж","41,699597","47,571570",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
427,МКОУ ХЕЛЕТУРИНСКАЯ СОШ,МОУ Хелетуринская СОШ,Ботлихский район,Село,Хелетури,"Республика Дагестан, Ботлихский район с. Хелетури","42,612600","46,225432",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
428,МКОУ ХИЛИ-ПЕНДЖИКСКАЯ СОШ,МОУ Хилипенджикская СОШ,Табасаранский район,Село,Хилипенджик,"Республика Дагестан, Табасаранский район, с. Хилипенджик","41,965613","48,054711",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
429,МКОУ ХИНДАХСКАЯ ООШ,,,,,,,,,,,,,,
430,МКОУ ХМЛ,,,,,,,,,,,,,,
431,МКОУ ХООШ,,,,,,,,,,,,,,
432,МКОУ ХОРЕДЖСКАЯ СОШ,"МБОУ""ХОРЕДЖСКАЯ СОШ""",Хивский район,Село,Хоредж,"Республика Дагестан, Хивский район, с. Хоредж","41,748168","47,866935",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
433,МКОУ Хотодинская СОШ,"МОУ ""Хотодинская СОШ""",Шамильский район,Село,Хотода,"Республика Дагестан, Шамильский район, с. Хотода","42,393805","46,558901",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
434,МКОУ ХПЕДЖСКАЯ СОШ,"МОУ ""Хпеджская СОШ""",Курахский район,Село,Хпедж,"Республика Дагестан, Курахский район, с. Хпедж","41,622417","47,727697",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
435,МКОУ ХПЮКСКАЯ СОШ,"МОУ ""Хпюкская СОШ """,Курахский район,Село,Хпюк,"Республика Дагестан, Курахский район, с. Хпюк","41,672716","47,672118",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
436,МКОУ ХСОШ,,,,,,,,,,,,,,
437,МКОУ Хубарская СОШ,МОУ Хубарская СОШ,Казбековский район,Село,Хубар,"Республика Дагестан, Казбековский район, с. Хубар","43,050007","46,753788",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
438,МКОУ ХУЛИСМИНСКАЯ ООШ,,,,,,,,,,,,,,
439,МКОУ ХУНГИЯНСКАЯ ООШ,,,,,,,,,,,,,,
440,МКОУ ХУНИНСКАЯ ООШ,,,,,,,,,,,,,,
441,МКОУ ХУРИНСКАЯ ООШ,,,,,,,,,,,,,,
442,МКОУ ХУРИНСКАЯ,МОУ Хуринская СОШ,Лакский район,Село,Хури,"Республика Дагестан, Лакский район, с. Хури.","42,170136","47,124764",Другое,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
443,МКОУ ХУРХИНСКАЯ СОШ,МОУ Хурхинская СОШ,Лакский район,Село,Хурхи,"Республика Дагестан, Лакский район, с. Хурхи.","42,106469","47,126384",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
444,МКОУ ХУРЯКСКАЯ ООШ,МОУ Хурякская ООШ,Табасаранский район,Село,Хуряк,"Республика Дагестан, Табасаранский район, с. Хуряк","41,881996","48,072989",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
445,МКОУ ХУСТИЛЬСКАЯ СОШ,МОУ Хустильская СОШ,Табасаранский район,Село,Хустиль,"Республика Дагестан, Табасаранский район, с. Хустиль","42,003031","47,935531",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
446,МКОУ Хуцеевская СОШ,"МОУ ""Хуцеевская СОШ""",Кизлярский район,Село,Хуцеевка,"Республика Дагестан, Кизлярский район, с. Хуцеевка","43,930074","46,780974",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
447,МКОУ ХУЧАДИНСКАЯ ООШ,"МОУ ""Хучадинская ООШ""",Шамильский район,Село,Хучада,"Республика Дагестан, Шамильский район, с. Хучада","42,400195","46,469267",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
448,МКОУ ХЮРЕХЮРСКАЯ СОШ,"МОУ ""Хюрехюрская СОШ""",Курахский район,Село,Хюрехюр,"Республика Дагестан, Курахский район, с. Хюрехюр","41,559981","47,741262",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
449,МКОУ ЦАНАКСКАЯ СОШ,МОУ Цанакская СОШ,Табасаранский район,Село,Цанак,"Республика Дагестан, Табасаранский район, с. Цанак","41,942616","48,041944",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
450,МКОУ ЦАНАТЛИНСКАЯ ООШ,МОУ Цанатлинская ООШ,Гумбетовский район,Село,Цанатль,"Республика Дагестан, Гумбетовский район, с. Цанатль","42,721366","46,621593",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
451,МКОУ ЦАТАНИХСКАЯ СОШ,МОУ Цатанихская СОШ,Унцукульский район,Село,Цатаних,"Республика Дагестан, Унцукульский район, с. Цатаних","42,667681","46,723992",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
452,МКОУ Цветковая гимназия,,,,,,,,,,,,,,
453,МКОУ ЦЕЛЕГЮНСКАЯ СОШ,"МОУ ""Целегюнская СОШ""",Магарамкентский район,Село,Целегюн,"Республика Дагестан, Магарамкентский район, с. Целегюн","41,658224","48,291467",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
454,МКОУ ЦИЛИТЛИНСКАЯ СОШ,МОУ Цилитлинская СОШ,Гумбетовский район,Село,Цилитль,"Республика Дагестан, Гумбетовский район, с. Цилитль","42,811374","46,416885",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
455,МКОУ ЦИНИТСКАЯ СОШ,"МБОУ""ЦИНИТСКАЯ СОШ им.А.МАГОМЕДОВА""",Хивский район,Село,Цинит,"Республика Дагестан, Хивский район, с. Цинит","41,724092","48,009020",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
456,МКОУ ЦНАЛЬСКАЯ СОШ,"МБОУ""ЦНАЛЬСКАЯ СОШ""",Хивский район,Село,Цнал,"Республика Дагестан, Хивский район, с. Цнал","41,696253","47,998553",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
457,МКОУ ЦО ЮЛДАШ С. ХУЧНИ,,,,,,,,,,,,,,
458,МКОУ ЦУЛИКАНИНСКАЯ ООШ,"МОУ ""Цуликанинская ООШ""",Акушинский район,Село,Цуликана,"Республика Дагестан, Акушинский район,с.Цуликана","42,258280","47,257263",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
459,МКОУ ЦУРАИНСКАЯ ООШ,,,,,,,,,,,,,,
460,МКОУ ЦУХТАМАХИНСКАЯ СОШ,"МОУ ""Цухтамахинская СОШ""",Левашинский район,Село,Цухтамахи,"Республика Дагестан, Левашинский район с. Цухтамахи","42,343056","47,331944",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
461,МКОУ ЦУХТЫГСКАЯ СОШ,МОУ Цухтыгская СОШ,Табасаранский район,Село,Цухтыг,"Республика Дагестан, Табасаранский район, с. Цухтыг","41,940097","47,982157",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
462,МКОУ ЦУЩАРСКАЯ ООШ,"МОУ""Цущарская ООШ""",Кулинский район,Село,Цушар,"Республика Дагестан, Кулинский район, с. Цушар","42,076366","47,140939",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
463,МКОУ ЦЫЙШИНСКАЯ СОШ,"МОУ""Цыйшинская СОШ""",Кулинский район,Село,Цыйша,"Республика Дагестан, Кулинский район, с. Цыйша","42,103588","47,222861",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
464,МКОУ ЧАГАРОТАРСКАЯ СОШ,МОУ Чагаротарская СОШ,Хасавюртовский район,Село,Чагаротар,"Республика Дагестан, Хасавюртовский район, с. Чагаротар","43,470093","46,536532",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
465,МКОУ ЧАДАКОЛОБСКАЯ СОШ,МОУ Чадаколобская СОШ,Тляратинский район,Село,Чадаколоб,"Республика Дагестан, Тляратинский район, с. Чадаколоб","42,192755","46,321142",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
466,МКОУ ЧАНКОВСКАЯ СОШ,МОУ Чанковская СОШ,Ботлихский район,Село,Чанко,"Республика Дагестан, Ботлихский район с. Чанко","42,718067","46,246223",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
467,МКОУ ЧЕРВЛЕННО-БУРУНСКАЯ СОШ,МОУ Червленно-Бурунская СОШ им. З. Акмурзаева,Ногайский район,Село,Червленные Буруны,"Республика Дагестан, Ногайский район, с. Червленные Буруны","44,161754","45,621480",Спутник,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
468,МКОУ ЧЕРЕНСКАЯ ООШ,,,,,,,,,,,,,,
469,МКОУ Черняевская СОШ,"МОУ ""Черняевская СОШ""",Кизлярский район,Село,Черняевка,"Республика Дагестан, Кизлярский район, с. Черняевка","43,942912","47,030359",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
470,МКОУ ЧИРКЕЙСКИЙ ЛИЦЕЙ,,,,,,,,,,,,,,
471,МКОУ ЧИТЛИНСКАЯ ООШ,МОУ Читлинская ООШ,Гумбетовский район,Село,Читли,"Республика Дагестан, Гумбетовский район, с. Читли","42,722477","46,503947",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
472,МКОУ ЧОРОДИНСКАЯ ООШ,МОУ Чородинская ООШ,Тляратинский район,Село,Чорода,"Республика Дагестан, Тляратинский район, с. Чорода","41,980423","46,496610",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
473,МКОУ ЧОХ-КОММУНСКАЯ СОШ,МОУ Чох-коммунская СОШ,Гунибский район,Село,Коммуна,"Республика Дагестан, Гунибский район, с. Коммуна","42,367098","46,968914",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
474,МКОУ ЧОХСКАЯ СОШ,МОУ Чохская СОШ,Гунибский район,Село,Чох,"Республика Дагестан, Гунибский район, с. Чох","42,320311","47,030502",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
475,МКОУ ЧУВЕКСКАЯ СОШ ИМ.СЕФЕРБЕКОВА,,,,,,,,,,,,,,
476,МКОУ ЧУЛАТСКАЯ СОШ,МОУ Чулатская СОШ,Табасаранский район,Село,Чулат,"Республика Дагестан, Табасаранский район, с. Чулат","41,881271","48,153611",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
477,МКОУ ЧУМЛИНСКАЯ СОШ,,,,,,,,,,,,,,
478,МКОУ ЧУНИНСКАЯ СОШ,"МОУ ""Чунинская СОШ""",Левашинский район,Село,Чуни,"Республика Дагестан, Левашинский район с. Чуни","42,348800","47,302082",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
479,МКОУ ЧУРТАХСКАЯ ООШ,МОУ Чуртахская ООШ,Лакский район,Село,Чуртах,"Республика Дагестан, Лакский район, с. Чуртах","42,112228","47,087440",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
480,МКОУ ЧУХВЕРКЕНТСКАЯ СОШ,"МОУ ""Чухверкентская СОШ""",Сулейман-Стальский район,Село,Чухверкент,"Республика Дагестан, Сулейман-стальский район, с. Чухверкент","41,771667","48,371111",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
481,МКОУ ШАГАДИНСКАЯ СОШ,МОУ Шагадинская СОШ,Хасавюртовский район,Село,Шагада,"Республика Дагестан, Хасавюртовский район, с. Шагада","43,479030","46,727002",Медь,12,"ПАО ""Ростелеком""",ВОЛС,50.0,,
482,МКОУ ШАНГОДИНСКАЯ СОШ,МОУ Шангодинская СОШ,Гунибский район,Село,Шангода,"Республика Дагестан, Гунибский район, с. Шангода","42,246903","46,999907",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
