,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
147,МКОУ ЗУБУТЛИ-МИАТЛИНСКАЯ СОШ,МОУ Зубутли-Миатлинская СОШ,Кизилюртовский район,Село,Зубутли-Миатли,"Республика Дагестан, Кизилюртовский район, с. Зубутли-Миатли","43,199681","46,810850",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
148,МКОУ ЗУРИМАХИНСКАЯ ООШ,"МОУ ""Зуримахинская ООШ""",Левашинский район,Село,Зуримахи,"Республика Дагестан, Левашинский район с. Зуримахи","42,430556","47,494166",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
149,МКОУ ЗУХРАБКЕНТСКАЯ ООШ,"МОУ ""Зухрабкентская ООШ""",Сулейман-Стальский район,Село,Зухрабкент,"Республика Дагестан, Сулейман-стальский район, с. Зухрабкент","41,700000","48,118056",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
150,МКОУ Избербашская ШИ III-IV видов,,,,,,,,,,,,,,
151,МКОУ ИЗБЕРБАШСКАЯ ШКОЛА-ИНТЕРНАТ,,,,,,,,,,,,,,
152,МКОУ ИКРИНСКАЯ СОС ШКОЛА-ИНТЕРНАТ,,,,,,,,,,,,,,
153,МКОУ Иммунная СОШ Тарум-ий р-он,,,,,,,,,,,,,,
154,МКОУ ИНГИШИНСКАЯ СОШ,МОУ Ингишинская СОШ,Гумбетовский район,Село,Ингиши,"Республика Дагестан, Гумбетовский район, с. Ингиши","42,774667","46,541685",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
155,МКОУ ИООШ,,,,,,,,,,,,,,
156,МКОУ ИСОШ,,,,,,,,,,,,,,
157,МКОУ ИСПИКСКАЯ ООШ,"МОУ ""Испикская ООШ""",Сулейман-Стальский район,Село,Испик,"Республика Дагестан, Сулейман-стальский район, с. Испик","41,605000","48,126389",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
158,МКОУ ИСПИКСКАЯ СОШ,"МОУ""Испикская СОШ""",Сулейман-Стальский район,Село,Испик,"Республика Дагестан, Сулейман-стальский район, с. Испик","41,613056","48,191667",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
159,МКОУ КАБИРСКАЯ СОШ,"МОУ ""Кабирская СОШ""",Курахский район,Село,Кабир,"Республика Дагестан, Курахский район, с. Кабир","41,560296","48,044758",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
160,МКОУ КАДИРКЕНТСКАЯ СОШ,"МОУ ""Кадиркентская СОШ""",Сергокалинский район,Село,Кадиркент,"Республика Дагестан, Сергокалинский район, с. Кадиркент","42,495932","47,608994",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
161,МКОУ КАДЫРОТАРСКАЯ СОШ,МОУ Кадыротарская СОШ,Хасавюртовский район,Село,Кадыротар,"Республика Дагестан, Хасавюртовский район, с. Кадыротар","43,440268","46,655074",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
162,МКОУ Калинаульская СОШ им Гайирханова,,,,,,,,,,,,,,
163,МКОУ КАЛИНОВСКАЯ СОШ,МОУ Калиновская СОШ,Тарумовский район,Село,Калиновка,"Республика Дагестан, Тарумовский район, с. Калиновка","43,967130","46,570142",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
164,МКОУ КАНАСИРАГИНСКАЯ СОШ,"МОУ ""Канасирагинская СОШ""",Сергокалинский район,Село,Канасираги,"Республика Дагестан, Сергокалинский район, с. Канасираги","42,252305","47,649534",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
165,МКОУ КАНДИКСКАЯ СОШ ИМ.Б.МИТАРОВА,,,,,,,,,,,,,,
166,МКОУ КАНИНСКАЯ ООШ,"МОУ""Канинская ООШ""",Кулинский район,Село,Кани,"Республика Дагестан, Кулинский район, с. Кани","42,139766","47,189655",Медь,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
167,МКОУ КАНЦИЛЬСКАЯ СОШ,"МБОУ""КАНЦИЛЬСКАЯ СОШ""",Хивский район,Село,Канциль,"Республика Дагестан, Хивский район, с. Канциль","41,751912","48,017315",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
168,МКОУ КАРАГАССКАЯ СОШ,МОУ Карагасская СОШ им. К.Ш. Кидирниязова,Ногайский район,Село,Карагас,"Республика Дагестан, Ногайский район, с. Карагас","44,253459","45,383233",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
169,МКОУ КАРАДАХСКАЯ СОШ,МОУ Карадахская СОШ,Гунибский район,Село,Карадах,"Республика Дагестан, Гунибский район, с. Карадах","42,470992","46,864642",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
170,МКОУ КАРАКЮРИНСКАЯ СОШ,"МОУ ""Каракюринская СОШ""",Докузпаринский район,Село,Каракюре,"Республика Дагестан, Докузпаринский район, с. Каракюре","41,418041","47,962011",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
171,МКОУ КАРАСУВСКАЯ СОШ,,,,,,,,,,,,,,
172,МКОУ КАРАЦАНСКАЯ СОШ,,,,,,,,,,,,,,
173,МКОУ КАРЕКАДАНИНСКАЯ СОШ,"МОУ ""Карекаданинская СОШ""",Левашинский район,Село,Карекадани,"Республика Дагестан, Левашинский район с. Карекадани","42,356704","47,132164",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
174,МКОУ КАРИНСКАЯ ООШ,,,,,,,,,,,,,,
175,МКОУ КАРЛАНЮРТОВСКАЯ СОШ,МОУ Карланюртовская СОШ,Хасавюртовский район,Село,Карланюрт,"Республика Дагестан, Хасавюртовский район, с. Карланюрт","43,231324","46,646674",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
176,МКОУ Карломарксовская СОШ,"МОУ ""Карломарксовская СОШ""",Кизлярский район,Село,Им. Карла Маркса,"Республика Дагестан, Кизлярский район, с. им. Карла Маркса","43,896276","46,789458",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
177,МКОУ КАРТАСКАЗМАЛЯРСКАЯ СОШ,МБОУ «Картасказмалярская СОШ»,Магарамкентский район,Село,Картас-Казмаляр,"Республика Дагестан, Магарамкентский район, с. Картас-Казмаляр","41,817985","48,396082",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
178,МКОУ КАРЧАГСКАЯ СОШ,,,,,,,,,,,,,,
179,МКОУ Кахибская СОШ,"МОУ ""Кахибская СОШ""",Шамильский район,Село,Кахиб,"Республика Дагестан, Шамильский район, с. Кахиб","42,429002","46,596472",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
180,МКОУ КАХЦУГСКАЯ СОШ,"МОУ ""Кахцугская СОШ""",Сулейман-Стальский район,Село,Кахцуг,"Республика Дагестан, Сулейман-стальский район, с. Кахцуг","41,771667","48,371111",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
181,МКОУ КАЧАЛКЕНТСКАЯ ООШ,"МОУ ""Качалкентская ООШ""",Сулейман-Стальский район,Село,Качалкент,"Республика Дагестан, Сулейман-стальский район, с. Качалкент","41,603889","48,165000",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
182,МКОУ КАШКЕНТСКАЯ СОШ,,,,,,,,,,,,,,
183,МКОУ КАЯЛИНСКАЯ СОШ-САД,,,,,,,,,,,,,,
184,МКОУ КВАНХИДАТЛИНСКАЯ ООШ,МОУ Кванхидатлинская ООШ,Ботлихский район,Село,Кванхидатли,"Республика Дагестан, Ботлихский район с. Кванхидатли","42,657827","46,271995",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
185,МКОУ КВАРДАЛСКАЯ ООШ,"МОУ ""Квардалская ООШ""",Курахский район,Село,Квардал,"Республика Дагестан, Курахский район, с. Квардал","41,680130","47,563704",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
186,МКОУ КЕГЕРСКАЯ СОШ,МОУ Кегерская СОШ,Гунибский район,Село,Кегер,"Республика Дагестан, Гунибский район, с. Кегер","42,376782","47,026142",Медь,15.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
187,МКОУ КЕМСИЮРТОВСКАЯ СОШ,МОУ Кемсиюртовская СОШ,Хасавюртовский район,Село,Кемсиюрт,"Республика Дагестан, Хасавюртовский район, с. Кемсиюрт","43,434140","46,435817",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
188,МКОУ КИЖАНИНСКАЯ ООШ,МОУ Кижанинская ООШ,Ботлихский район,Село,Кижани,"Республика Дагестан, Ботлихский район с. Кижани","42,740654","46,365807",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
189,МКОУ Кизлярская гим-ия 1 Ломоносова_,,,,,,,,,,,,,,
190,МКОУ Кизлярская гим-ия 1_им. Ломоносова,,,,,,,,,,,,,,
191,МКОУ Кизлярская гим-ия 6 им Пушкина_,,,,,,,,,,,,,,
192,МКОУ Кизлярская гим-ия 6_им. Пушкина,,,,,,,,,,,,,,
193,МКОУ КИЛЯТЛИНСКАЯ СОШ,МОУ Килятлинская СОШ,Гумбетовский район,Село,Килятль,"Республика Дагестан, Гумбетовский район, с. Килятль","42,704796","46,466274",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
194,МКОУ КИРОВАУЛЬСКАЯ СОШ,МОУ Кироваульская СОШ,Кизилюртовский район,Село,Кироваул,"Республика Дагестан, Кизилюртовский район, с. Кироваул","43,234969","46,842046",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
195,МКОУ КИЧИГАМРИНСКАЯ СОШ,"МОУ ""Кичигамринская СОШ""",Сергокалинский район,Село,Кичи-Гамри,"Республика Дагестан, Сергокалинский район, с. Кичи-Гамри","42,313847","47,710630",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
196,МКОУ КИЩИНСКАЯ МНОГОПРОФ. ГИМНАЗИЯ,,,,,,,,,,,,,,
197,МКОУ КЛИЧХАНСКАЯ ООШ,"МОУ ""Кличханская ООШ""",Магарамкентский район,Село,Кличхан,"Республика Дагестан, Магарамкентский район, с. Кличхан","41,758556","48,422975",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
198,МКОУ КНОШ,,,,,,,,,,,,,,
199,МКОУ КОКРЕКСКАЯ СОШ,МОУ Кокрекская СОШ,Хасавюртовский район,Село,Кокрек,"Республика Дагестан, Хасавюртовский район, с. Кокрек","43,237593","46,724540",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
200,МКОУ Коктюбейская ООШ,МОУ Коктюбейская ООШ,Тарумовский район,Село,Коктюбей,"Республика Дагестан, Тарумовский район, с. Коктюбей","44,268124","46,739422",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
201,МКОУ КОРОДИНСКАЯ СОШ,МОУ Кородинская СОШ,Гунибский район,Село,Корода,"Республика Дагестан, Гунибский район, с. Корода","42,449680","46,847429",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
202,МКОУ КОСТЕКСКАЯ СОШ,МОУ Костекская СОШ,Хасавюртовский район,Село,Костек,"Республика Дагестан, Хасавюртовский район, с. Костек","43,340336","46,852240",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
203,МКОУ Косякинская СОШ,"МОУ ""Косякинская СОШ""",Кизлярский район,Село,Косякино,"Республика Дагестан, Кизлярский район, с. Косякино","43,902111","46,680555",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
204,МКОУ Краснооктябрьсякая СОШ,,,,,,,,,,,,,,
205,МКОУ КРАСНОПАРТИЗАНСКАЯ СОШ,"МОУ ""Краснопартизанская СОШ""",Сергокалинский район,Село,Краснопартизанск,"Республика Дагестан, Сергокалинский район, с. Краснопартизанск","42,274652","48,016560",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
206,МКОУ КСОШ,,,,,,,,,,,,,,
207,МКОУ КСОШ № 3,,,,,,,,,,,,,,
208,МКОУ КСОШ,,,,,,,,,,,,,,
209,МКОУ КСОШ_,,,,,,,,,,,,,,
210,МКОУ КСОШ_,,,,,,,,,,,,,,
211,МКОУ КУАНИБСКАЯ ООШ,"МОУ ""Куанибская ООШ""",Шамильский район,Село,Куаниб,"Республика Дагестан, Шамильский район, с. Куаниб","42,509589","46,613138",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
212,МКОУ КУБАЧИНСКАЯ НО ШКОЛА-ДЕТ. САД,,,,,,,,,,,,,,
213,МКОУ КУГСКАЯ СОШ ИМ.Б.БАЙРАМБЕКОВА,"МБОУ""КУГСКАЯ СОШ""",Хивский район,Село,Куг,"Республика Дагестан, Хивский район, с. Куг","41,770800","47,964243",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
214,МКОУ КУДАЛИНСКАЯ СОШ,МОУ Кудалинская СОШ,Гунибский район,Село,Кудали,"Республика Дагестан, Гунибский район, с. Кудали","42,369453","47,075246",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
215,МКОУ Кудутлинская СОШ Герг-й район,"МОУ ""Кудутлинская СОШ""",Гергебильский район,Село,Кудутль,"Республика Дагестан, Гергебильский район, с. Кудутль","42,577481","47,018895",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
216,МКОУ КУЖНИКСКАЯ СОШ,МОУ Кужникская СОШ,Табасаранский район,Село,Кужник,"Республика Дагестан, Табасаранский район, с. Кужник","41,955832","47,820843",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
217,МКОУ КУЛИБУХНИНСКАЯ ООШ,"МОУ ""Кулибухнинская ООШ""",Левашинский район,Село,Кулибухна,"Республика Дагестан, Левашинский район с. Кулибухна","42,315896","47,184430",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
218,МКОУ КУЛИДЖИНСКАЯ ООШ,,,,,,,,,,,,,,
219,МКОУ КУЛЬЗЕБСКАЯ СОШ,МОУ Кульзебская СОШ,Кизилюртовский район,Село,Кульзеб,"Республика Дагестан, Кизилюртовский район, с. Кульзеб","43,172547","47,010804",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
220,МКОУ КУМИНСКАЯ ООШ,,,,,,,,,,,,,,
221,МКОУ КУМЛИНСКАЯ СОШ,МОУ Кумлинская СОШ им.Д.М.Шихмурзаева.,Ногайский район,Село,Кумли,"Республика Дагестан, Ногайский район, с. Кумли","43,990557","46,064000",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
222,МКОУ КУМУКСКАЯ СОШ,"МОУ ""Кумукская СОШ""",Курахский район,Село,Кумук,"Республика Дагестан, Курахский район, с. Кумук","41,835873","48,417846",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
223,МКОУ КУНДЫНСКАЯ СОШ,МОУ Кундынская СОШ,Лакский район,Село,Кунды,"Республика Дагестан, Лакский район, с. Кунды.","42,268627","47,165240",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
224,МКОУ КУНЗАХСКАЯ ООШ,МОУ Кунзахская ООШ,Гумбетовский район,Село,Кунзах,"Республика Дагестан, Гумбетовский район, с. Кунзах","42,748534","46,664853",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
225,МКОУ КУРЕКСКАЯ СОШ,МОУ Курекская СОШ,Табасаранский район,Село,Курек,"Республика Дагестан, Табасаранский район, с. Курек","41,952696","47,859247",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
226,МКОУ КУРКАКСКАЯ СОШ,МОУ Куркакская СОШ,Табасаранский район,Село,Куркак,"Республика Дагестан, Табасаранский район, с. Куркак","41,910821","47,973558",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
