Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Хасавюртовский район;Село;Бамматюрт;МКОУ Бамматюртовская СОШ ;Республика Дагестан, Хасавюртовский район, с. Бамматюрт, ул. Школьная, 72 ;;;43,346163;46,608256;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Кайтагский район;Село;Баршамай;МКОУ БАРШАМАЙСКАЯ СОШ ;Республика Дагестан, Кайтагский район, с. Баршамай, ул.Центральная, 100;;;42,110395;47,849194;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Шамильский район;Село;Нижний Батлух;МКОУ БАТЛУХСКАЯ НОШ ;Республика Дагестан, Шамильский район, с. Нижний Батлух, ул Центральная, 124;;;42,488462;46,524909;Общеобразовательная организация;Отсутствует;0.0;ВОЛС;50.0
Гунибский район;Село;Бацада;МКОУ БАЦАДИНСКАЯ СОШ ;Республика Дагестан, Гунибский район, с. Бацада, ул. Бацадинская, 145а;;;42,30398;46,91213;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Каякентский район;Село;Башлыкент;МКОУ БАШЛЫКЕНТСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Башлыкент;;;42,259458;47,844283;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Агульский район;Село;Бедюк;МКОУ БЕДЮКСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Бедюк;;;41,715948;47,526224;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Цунтинский район;Село;Бежта;МКОУ Бежтинская СОШ Цунтинский р. ;Республика Дагестан, Цунтинский район, с. Бежта, ул.Курбанова ,д.97;;;42,134121;46,12495;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Поселок;Белиджи;МКОУ БЕЛИДЖИНСКАЯ ГИМНАЗИЯ № 1  ;Республика Дагестан, Дербентский район, п. Белиджи ул. А.Исрафилова, 28;;;41,52;48,22;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Поселок;Белиджи;МКОУ БЕЛИДЖИНСКАЯ ГИМНАЗИЯ № 1 ;Республика Дагестан, Дербентский район, п. Белиджи ул. А.Исрафилова, 28;;;41,52;48,22;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Берикей;МКОУ БЕРИКЕЙСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Берикей, ул. Р. Гамзатова, 4;;;42,20103;48,03056;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Магарамкентский район;Село;Бильбиль-казмаляр;МКОУ БИЛБИЛЬСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Бильбиль-казмаляр, ул. Школьная, 7;;;41,820342;48,32343;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Бильгади;МКОУ БИЛЬГАДИНСКАЯ ООШ ;Республика Дагестан, Дербентский район, с. Бильгади;;;42,086148;48,134996;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Кизлярский район;Село;Большая Арешевка;МКОУ Большеарешевская СОШ Кизлярский р. ;Республика Дагестан, Кизлярский район, с. Большая Арешевка, ул Корнеева б/н;;;44,108368;46,917621;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Кизлярский район;Село;Большебредихинское;МКОУ Большебредихинская СОШ ;Республика Дагестан, Кизлярский район, с. Большебредихинское, пер. Школьный, 4;;;43,899977;46,849831;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Борагангечув;МКОУ БОРАГАНГЕЧУВСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Борагангечув, ул. Первая, 42;;;43,183;46,265;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Ботлихский район;Село;Ботлих;МКОУ БОТЛИХСКАЯ СОШ № 3 ;Республика Дагестан, Ботлихский район с. Ботлих, ул. Адинча, д. 1;;;42,666944;46,210833;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Ботлих;МКОУ БОТЛИХСКАЯ СОШ №1 ;Республика Дагестан, Ботлихский район с. Ботлих, ул. Центральная, 34;;;42,666944;46,210833;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Ботлих;МКОУ БОТЛИХСКАЯ СОШ №2 ;Республика Дагестан, Ботлихский район с. Ботлих, ул. Имама Шамиля, д. 33;;;42,666944;46,210833;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Акушинский район;Село;Бургимак;МКОУ БУРГИМАКМАХИНСКАЯ СОШ ;Республика Дагестан, Акушинский район, с. Бургимак, ул. Бургимахинская, 2;;;42,174674;47,220321;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Агульский район;Село;Буркихан;МКОУ БУРКИХАНСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Буркихан;;;41,805;47,538056;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Казбековский район;Село;Буртунай;МКОУ Буртунайская СОШ ;Республика Дагестан, Казбековский район, с. Буртунай, ул. Гаджиева Узайри , д. 2;;;42,9902;46,6307;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Агульский район;Село;Буршаг;МКОУ БУРШАГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Буршаг;;;41,895922;47,641161;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дахадаевский район;Село;Бускри;МКОУ БУСКРИНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Бускри;;;42,173118;47,667911;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Магарамкентский район;Село;Бут-Казмаляр;МКОУ БУТ-КАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Бут-Казмаляр, ул. Школьная, 44;;;41,700202;48,404832;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;Ванаши;МКОУ Ванашинская ООШ ;Республика Дагестан, Буйнакский район, с. Ванаши, ул. Ванашимахинская, д. 35;;;42,6334;47,2878;Общеобразовательная организация;Другое;1.0;ВОЛС;50.0
Кулинский район;Село;Вачи;МКОУ ВАЧИНСКАЯ СОШ ;Республика Дагестан, Кулинский район, с. Вачи, ул. А.Султана, 33;;;42,07265;47,214566;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Великент;МКОУ ВЕЛИКЕНТСКАЯ ООШ ;Республика Дагестан, Дербентский район, с. Великент, ул. Алиева, 49;;;42,112624;48,035526;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Великент;МКОУ ВЕЛИКЕНТСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Великент , ул. Джавадова, 3;;;42,112813;48,041579;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Гумбетовский район;Село;Верхнее Инхо;МКОУ ВЕРХНЕИНХОВСКАЯ ;Республика Дагестан, Гумбетовский район, с. Верхнее  Инхо, ул. Магомедова Аслудина, 26;;;42,4223;46,3022;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;В.-Казанище;МКОУ В-КАЗАНИЩЕНСКАЯ СОШ №1 ;Республика Дагестан, Буйнакский район, с. В- Казанище, ул. З.Давудова, 38;;;42,72856;47,13194;Общеобразовательная организация;Медь;5.0;ВОЛС;50.0
Буйнакский район;Село;В.-Каранай;МКОУ В-КАРАНАЙСКАЯ СОШ ;Республика Дагестан, Буйнакский район, с. В.-Каранай.;;;42,825929;46,904863;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Кизлярский район;Село;Вперед;МКОУ Впередовская СОШ ;Республика Дагестан, Кизлярский район, с. Вперед, ул. Школьная, б/н;;;43,894333;46,71946;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дахадаевский район;Село;Бускри;МКОУ ГАДЖИ-КУТАНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Бускри;;;42,086235;47,557674;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Новолакский район;Село;Гамиях;МКОУ ГАМИЯХСКАЯ СОШ №2 ;Республика Дагестан, Новолакский район, с. Гамиях, ул. Четырнадцатая, 9;;;43,208069;46,486702;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Гамиях;МКОУ ГАМИЯХСКАЯ СОШ ;Республика Дагестан, Новолакский район, с. Гамиях, ул. Четырнадцатая, 9;;;43,208069;46,486702;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Гапцах;МКОУ ГАПЦАХСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Гапцах, ул. Школьная, д. 19а;;;41,673026;48,378827;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Гарах;МКОУ ГАРАХСКАЯ ООШ ;Республика Дагестан, Магарамкентский район, с. Гарах, ул. Самурского, 2;;;41,482002;48,04878;Общеобразовательная организация;Медь;1;ВОЛС;50.0
Ахтынский район;Село;Гдым;МКОУ ГДЫМСКАЯ ООШ ;Республика Дагестан, Ахтынский район, с. Гдым;;;41,309346;47,46602;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Бабаюртовский район;Село;Геметюбе;МКОУ ГЕМЕТЮБИНСКАЯ СОШ ;Республика Дагестан, Бабаюртовский район, с. Геметюбе, ул. Школьная, 3;;;43,574194;46,902453;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Герга;МКОУ ГЕРГИНСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Герга, ул. Ленина, 2;;;42,3536;47,9562;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Бабаюртовский район;Село;Герменчик;МКОУ ГЕРМЕНЧИКСКАЯ СОШ ;Республика Дагестан, Бабаюртовский район, с. Герменчик, ул. Исмаилова, 49;;;43,539876;46,726471;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Гилиб;МКОУ Гилибская СОШ ;Республика Дагестан, Чародинский район, с. Гилиб;;;42,116973;46,776263;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Гильяр;МКОУ ГИЛЬЯРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Гильяр, ул. Нажмудина Самурского, 62;;;41,55962;48,25883;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Городской округ город Хасавюрт;Город;Хасавюрт;МКОУ ГИМНАЗИЯ №3 ;Республика Дагестан, г. Хасавюрт, ул. Махачкалинское ш. № 29.;;;43,2348;46,580886;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Хасавюртовский район;Село;Нурадилово;МКОУ ГИМНАЗИЯ КУЛЬТУРЫ МИРА ;Республика Дагестан, Хасавюртовский район, с. Нурадилово, ул. Адилсултанова, 15;;;43,175;46,2729;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Ахтынский район;Село;Гогаз;МКОУ ГОГАЗСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Гогаз, ул.Центральная, 172;;;41,67766;48,20153;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Агульский район;Село;Гоа;МКОУ ГОИНСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Гоа;;;41,752751;47,703291;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Шамильский район;Село;Голотль;МКОУ ГОЛОТЛИНСКАЯ СОШ  ;Республика Дагестан, Шамильский район, с. Голотль, ул. Омарова, 3;;;42,491685;46,737635;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Шамильский район;Село;Голотль;МКОУ Голотлинская СОШ ;Республика Дагестан, Шамильский район, с. Голотль, ул. Омарова, 3;;;42,491685;46,737635;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хунзахский район;Село;Гоцатль;МКОУ Гоцатлинская СОШ ;Республика Дагестан, Хунзахский район, с. Гоцатль, ул. Худанатил Мухаммада, д. 48;;;42,51307;46,883293;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Гочоб;МКОУ Гочобская СОШ ;Республика Дагестан, Чародинский район, с. Гочоб;;;42,238557;46,661738;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Гуладты;МКОУ ГУЛАДТЫНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Гуладты;;;42,113145;47,452518;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Гунакари;МКОУ ГУНАКАРИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Гунакари;;;42,178926;47,690981;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Гурбуки;МКОУ ГУРБУКИНСКАЯ СОШ №2 ;Республика Дагестан, Карабудахкентский район, с. Гурбуки, ул. Дагестанская, д.1;;;42,610996;47,586663;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Гурхун;МКОУ ГУРХУНСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Гурхун, ул. Центральная, 40;;;42,1657;47,551286;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Даркушказмаляр;МКОУ ДАРКУШКАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Сулейман-стальский район, с. Даркушказмаляр, ул. А.Сайдумова, 11;;;41,077;48,755;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кумторкалинский район;Село;Дахадаевское;МКОУ ДАХАДАЕВСКАЯ ООШ ;Республика Дагестан, Кумторкалинский район, с. Дахадаевское;;;43,10871;47,440444;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Дегва;МКОУ ДЕГВИНСКАЯ СОШ ;Республика Дагестан, Сергокалинский район, с. Дегва, ул. Дегвинская;;;42,4161;47,5424;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Дейбук;МКОУ ДЕЙБУКСКАЯ ООШ ;Республика Дагестан, Каякентский район, с. Дейбук;;;42,205885;47,517573;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Деличобан;МКОУ ДЕЛИЧОБАНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Деличобан;;;42,199831;48,094559;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Джаванкент;МКОУ ДЖАВАНКЕНТСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Джаванкент;;;42,254327;47,811161;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Джемикент;МКОУ ДЖЕМИКЕНТСКАЯ НАЧАЛЬНАЯ ШКОЛА ;Республика Дагестан, Дербентский район, с. Джемикент, ул. Курбанова С.Д., 3;;;42,23218;48,03438;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Джемикент;МКОУ ДЖЕМИКЕНТСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Джемикент, ул. Школьная, 17;;;42,24092;48,03955;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Дзилебки;МКОУ ДЗИЛЕБКИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Дзилебки;;;42,049074;47,555354;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Дахадаевский район;Село;Дибгалик;МКОУ ДИБГАЛИКСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Дибгалик, ул. Школьная 5;;;42,12422;47,653705;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Дирбаг;МКОУ ДИРБАГСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Дирбаг;;;41,914578;47,493154;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Левашинский район;Село;Дитуншимахи;МКОУ ДИТУНШИМАХИНСКАЯ ООШ ;Республика Дагестан, Левашинский район с. Дитуншимахи, ул. Махи, 21;;;42,380283;47,291663;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Каякентский район;Село;Дружба;МКОУ ДРУЖБИНСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Дружба, ул. Горького, 19;;;42,2409;47,0035;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Дулдуг;МКОУ ДУЛДУГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Дулдуг;;;41,76749;47,674315;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Дуранги;МКОУ Дурангинская СОШ ;Республика Дагестан, Буйнакский район, с. Дуранги, ул. Сахаватова, 39;;;42,63378;47,22374;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Чародинский район;Село;Дусрах;МКОУ Дусрахская СОШЧарод-ий р-он ;Республика Дагестан, Чародинский район, с. Дусрах;;;42,127583;46,878202;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Дучи;МКОУ ДУЧИНСКАЯ СОШ №2 ;Республика Дагестан, Новолакский район, с. Дучи, ул. Маркинская, 2;;;43,130597;47,459084;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Дюзляр;МКОУ ДЮЗЛЯРСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Дюзляр;;;41,938014;48,269876;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Ерси;МКОУ ЕРСИНСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Ерси, ул.Девятый Магал, 1;;;42,12151;48,113344;Общеобразовательная организация;Медь;4;ВОЛС;50.0
