Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Каякентский район;Село;Усемикент;МКОУ УСЕМИКЕНТСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Усемикент;;;42,387896;47,867893;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Бабаюртовский район;Село;Уцми-Юрт;МКОУ УЦМИЮРТОВСКАЯ СОШ ;Республика Дагестан, Бабаюртовский район, с. Уцмиюрт, ул. Омарова, 13;;;43,534726;46,468601;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кумторкалинский район;Село;Учкент;МКОУ УЧКЕНТСКАЯ СОШ ;Республика Дагестан, Кумторкалинский район, с. Учкент;;;43,113294;47,082179;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Фий;МКОУ ФИЙСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Фий;;;41,289128;47,564456;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Левашинский район;Село;Хаджалмахи;МКОУ ХАДЖАЛМАХИНСКАЯ ООШ ;Республика Дагестан, Левашинский район с. Хаджалмахи, ул. Н.Османова, 5;;;42,422335;47,184985;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Хаджалмахи;МКОУ ХАДЖАЛМАХИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Хаджалмахи, ул. Булатова, 1;;;42,418827;47,178771;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Хазар;МКОУ ХАЗАРСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Хазар;;;41,993559;48,337219;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кулинский район;Село;Хайми;МКОУ ХАЙМИНСКАЯ НОШ ;Республика Дагестан, Кулинский район, с. Хайми, ул Школьная, 4;;;42,09326;47,20988;Общеобразовательная организация;Отсутствует;0;ВОЛС;50.0
Буйнакский район;Село;Халимбекаул;МКОУ ХАЛИМБЕКАУЛЬСКАЯ СОШ ;Республика Дагестан, Буйнакский район, с. Халимбекаул, ул.Школьная д.2;;;42,83988;47,14643;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Хамавюрт;МКОУ ХАМАВЮРТОВСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Хамавюрт, ул. им. Аджиева А.М., 34;;;43,164;46,2538;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Бабаюртовский район;Село;Хамаматюрт;МКОУ ХАМАМАТЮРТОВСКАЯ СОШ №1 ;Республика Дагестан, Бабаюртовский район, с. Хамаматюрт, ул. Абдуллаева Б.Д., 1;;;43,606389;46,502222;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Ханаг;МКОУ Ханагская СОШ ;Республика Дагестан, Табасаранский район, с. Ханаг, ул. Ханагская, д.157;;;41,583464;47,534479;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Хапиль;МКОУ ХАПИЛЬСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Хапиль, ул. Школьная, 4;;;41,59881;47,582611;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Харбук;МКОУ ХАРБУКСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Харбук;;;42,158969;47,531161;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Левашинский район;Село;Хахита;МКОУ ХАХИТИНСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Хахита, ул. Керимова, д. 16;;;42,462853;47,274055;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Шамильский район;Село;Хебда;МКОУ Хебдинская СОШ ;Республика Дагестан, Шамильский район, с. Хебда, ул.Шамиля д.15;;;42,442595;46,551353;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хивский район;Село;Хив;МКОУ ХИВСКАЯ СОШ ИМ.М.ШАМХАЛОВА ;Республика Дагестан, Хивский район, с. Хив, ул. Ломоносова, 5;;;41,451292;47560426;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гунибский район;Село;Хиндах;МКОУ ХИНДАХСКАЯ СОШ ;Республика Дагестан, Гунибский район, с. Хиндах, ул. Школьная, д. 8;;;42,40305;46,96425;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Хкем;МКОУ ХКЕМСКАЯ ООШ ;Республика Дагестан, Ахтынский район, с. Хкем;;;41,473056;47,760556;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Ахтынский район;Село;Хнов;МКОУ ХНОВСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Хнов;;;41,377994;47,444516;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Магарамкентский район;Село;Ходжа-Казмаляр;МКОУ ХОДЖАКАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Ходжа-Казмаляр, ул. Школьная, 2;;;41,729557;48,440358;Общеобразовательная организация;Медь;1;ВОЛС;50.0
Магарамкентский район;Село;Хорель;МКОУ ХОРЕЛЬСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Хорель, ул. Багаудинова, 2;;;41,55978;48,25896;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кулинский район;Село;Хосрех;МКОУ ХОСРЕХСКАЯ СОШ ;Республика Дагестан, Кулинский район, с. Хосрех, ул. А.Султана, 54;;;41,99094;47,27571;Общеобразовательная организация;Спутник;4;ВОЛС;50.0
Гунибский район;Село;Хоточ;МКОУ ХОТОЧИНСКАЯ СОШ ;Республика Дагестан, Гунибский район, с. Хоточ, ул. Хоточинская, 254;;;42,40828;46,95096;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Хрюг;МКОУ ХРЮГСКАЯ СОШ ;Республика Дагестан, Ахтынский район, с. Хрюг, улица Молла Магомеда, 76;;;41,47546;48,01735;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Магарамкентский район;Село;Хтун-Казмаляр;МКОУ ХТУНКАЗМАЛЯРСКАЯ ООШ ;Республика Дагестан, Магарамкентский район, с. Хтун-Казмаляр, ул. Хаджи-Давуда, 15;;;41,811528;48,524788;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Худиг;МКОУ ХУДИГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Худиг;;;41,853682;47,656574;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Худуц;МКОУ ХУДУЦСКАЯ С;Республика Дагестан, Дахадаевский район, с. Худуц;;;41,96634;47,513166;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Хунзахский район;Село;Хунзах;МКОУ Хунзахская СОШ ;Республика Дагестан, Хунзахский район, с. Хунзах, ул. Магомедмирза Хизроева, д. 11;;;42,543;46,705;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Хурик;МКОУ ХУРИКСКАЯ СОШ ИМ. Р.ГАСАНОВА ;Республика Дагестан, Табасаранский район, с. Хурик, ул. Школьная, д.25;;;41,599492;47,535125;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Хуршни;МКОУ ХУРШНИНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Хуршни;;;42,14179;47,489579;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гунибский район;Село;Хутни;МКОУ ХУТНИБСКАЯ СОШ ;Республика Дагестан, Гунибский район, с. Хутни,  ул. Хутнибская,  40;;;42,35287;46,95285;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Хутхул;МКОУ ХУТХУЛЬСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Хутхул;;;41,476582;47,36579;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Хучни;МКОУ Хучнинская СОШ 1 ;Республика Дагестан, Табасаранский район, с. Хучни, ул. Айдемирова, д.21;;;41,565259;47,564628;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Хучни;МКОУ ХУЧНИНСКАЯ СОШ №2 ;Республика Дагестан, Табасаранский район, с. Хучни, ул. А.Джафарова, д.3А;;;41,574568;47,578361;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Цизгари;МКОУ ЦИЗГАРИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Цизгари;;;42,219793;47,648174;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Левашинский район;Село;Цудахар;МКОУ ЦУДАХАРСКАЯ СОШ ;Республика Дагестан, Левашинский район с. Цудахар, ул. Кара Караева, д. 5;;;42,346677;47,16389;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хивский район;Село;Цудук;МКОУ ЦУДУКСКАЯ ООШ ;Республика Дагестан, Хивский район, с. Цудук;;;41,782927;47,89499;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Чародинский район;Село;Цуриб;МКОУ Цурибская СОШ ;Республика Дагестан, Чародинский район, с. Цуриб, ул. Магомедова Хабиба, 1;;;42,141994;46,50006;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Табасаранский район;Село;Цуртиль;МКОУ ЦУРТИЛЬСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Цуртиль, ул. Школьная, 8А;;;41,551354;47,561172;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Чабанмахи;МКОУ Чабанмахинская СОШ ;Республика Дагестан, Буйнакский район, с. Чабанмахи, ул. Школьная, 1;;;42,6367;47,2578;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гергебильский район;Село;Чалда;МКОУ Чалдинская СОШ ;Республика Дагестан, Гергебильский район, с. Чалда, ул. И.Шамиля, 37;;;42,321306;46,545251;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Чанкурбе;МКОУ Чанкурбенская СОШ ;Республика Дагестан, Буйнакский район, с. Чанкурбе, ул. Центральная;;;42,6286;47,3179;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Чапаево;МКОУ ЧАПАЕВСКАЯ СОШ №1 ;Республика Дагестан, Новолакский район, с. Чапаево, ул. Одинадцатая, 7;;;43,111018;46,485255;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Чапаево;МКОУ ЧАПАЕВСКАЯ СОШ №2 ;Республика Дагестан, Новолакский район, с. Чапаево, ул. Школьная, 5;;;43,068469;46,44806;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Новолакский район;Село;Чаравали;МКОУ ЧАРАВАЛИНСКАЯ СОШ ;Республика Дагестан, Новолакский район, с. Чаравали, ул. Висханова, 1;;;43,16077;46,503327;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Чахчах-Казмаляр;МКОУ ЧАХЧАХ-КАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Чахчах-Казмаляр, ул. С.Стальского, 1;;;41,764684;48,497345;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хивский район;Село;Чиликар;МКОУ ЧИЛИКАРСКАЯ ООШ ;Республика Дагестан, Хивский район, с. Чиликар;;;41,742396;48,06637;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Дербентский район;Село;Чинар;МКОУ ЧИНАРСКАЯ СОШ № 1 ;Республика Дагестан, Дербентский район, с. Чинар, ул. Ленина, 3;;;42,063218;48,084879;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дербентский район;Село;Чинар;МКОУ ЧИНАРСКАЯ СОШ № 2 ;Республика Дагестан, Дербентский район, с. Чинар ,ул. Некрасова, 22;;;42,062021;48,083384;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Акушинский район;Село;Чинимахи;МКОУ ЧИНИМАХИНСКАЯ ООШ ;Республика Дагестан, Акушинский район,с.Чинимахи, ул. Школьная, 7;;;42,163905;47,223055;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Чираг;МКОУ ЧИРАГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Чираг.;;;41,837017;47,431816;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гумбетовский район;Село;Чирката;МКОУ ЧИРКАТИНСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Чирката, ул.Им Имама Газимагомеда, д.22;;;42,47;46,4306;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Дахадаевский район;Село;Чишили;МКОУ ЧИШИЛИНСКАЯ СОШ ;Республика Дагестан, Дахадаевский район, с. Чишили;;;42,150348;47,666629;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Чонтаул;МКОУ ЧОНТАУЛЬСКАЯ СОШ №1 ;Республика Дагестан, Кизилюртовский район, с. Чонтаул, ул. Гимбатова, 8;;;43,302957;46,864264;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Чонтаул;МКОУ ЧОНТАУЛЬСКАЯ СОШ №2 ;Республика Дагестан, Кизилюртовский район, с. Чонтаул, ул. Ю.Акаева, 33;;;43,310978;46,869379;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Шанди;МКОУ ШАДНИНСКАЯ ООШ ;Республика Дагестан, Дахадаевский район, с. Шадни;;;42,19228;47,649224;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Унцукульский район;Село;Шамилькала;МКОУ ШАМИЛЬКАЛИНСКАЯ СОШ ;Республика Дагестан, Унцукульский район, с. Шамилькала, ул. М. Дахадаева, 7;;;42,684518;46,865994;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Кумторкалинский район;Село;Шамхалянгиюрт;МКОУ ШАМХАЛЯНГИЮРТОВСКАЯ СОШ ;Республика Дагестан, Кумторкалинский район, с. Шамхалянгиюрт;;;43,293567;47,226013;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ногайский район;Село;Шумлелик;МКОУ ШУМЛЕЛИКСКАЯ СОШ ;Республика Дагестан, Ногайский район, с.Шумлелик ул.Восточная, 5;;;44,24222;45,694914;Общеобразовательная организация;Медь;1;ВОЛС;50.0
Буйнакский район;Село;Экибулак;МКОУ Экибулакская ООШ ;Республика Дагестан, Буйнакский район, с. Экибулак;;;43,040617;47,073787;Общеобразовательная организация;Спутник;1;ВОЛС;50.0
Хасавюртовский район;Село;Эндирей;МКОУ ЭНДИРЕЙСКАЯ СОШ № 1 ;Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Школьная, 1;;;43,1994;46,657;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Хасавюртовский район;Село;Эндирей;МКОУ ЭНДИРЕЙСКАЯ СОШ №2 ;Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Айдемирова, 58;;;43,1635;46,6516;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Табасаранский район;Село;Ягдыг;МКОУ ЯГДЫГСКАЯ СОШ №1 ;Республика Дагестан,Табасаранский район,с.Ягдыг, ул.Верхний Ягдыг, д.40;;;41,584246;47,574197;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Ягдыг;МКОУ ЯГДЫГСКАЯ СОШ №2 ;Республика Дагестан,Табасаранский район,с.Ягдыг, ул.Нижний Ягдыг, д.10А;;;41,584047;47,58852;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахтынский район;Село;Ялак;МКОУ ЯЛАКСКАЯ ООШ ИМ.И.М.ИСАБЕКОВА ;Республика Дагестан, Ахтынский район, с. Ялак;;;41,531667;47,605;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Магарамкентский район;Село;Яраг-Казмаляр;МКОУ ЯРАГКАЗМАЛЯРСКАЯ СОШ ;Республика Дагестан, Магарамкентский район, с. Яраг-Казмаляр, ул. Абаса Исрафилова, 34;;;41,644826;48,38821;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Агульский район;Село;Яркуг;МКОУ ЯРКУГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Яркуг;;;41,79852;47,68349;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Чародинский район;Село;Арчиб;МБОУ Арчибская СОШ;Республика Дагестан, Чародинский район, с. Арчиб;;;42,064946;46,869756;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;В.-Казанище;МБОУ В.Казанищенская СОШ 1 с.В.Казанище;Республика Дагестан, Буйнакский район, с. В- Казанище, ул. З.Давудова, 38;;;42,72856;47,13194;Общеобразовательная организация;Медь;5.0;ВОЛС;50.0
Ахвахский район;Село;Верхнее Инхело;МБОУ ВЕРХНЕИНХЕЛИНСКАЯ ООШ;Республика Дагестан, Ахвахский район, с. Верхнее   Инхело, ул. Верхнеинхелинская, д. 151;;;42,620684;46,330241;Общеобразовательная организация;Медь;15.0;ВОЛС;50.0
Дербентский район;Село;Геджух;МБОУ Геджухская СОШ;Республика Дагестан, Дербентский район, с. Геджух, ул. Ленина, 2;;;42,07382;48,040967;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Карабудахкентский район;Село;Гелли;МБОУ ГЕЛИНСКАЯ СОШ;Республика Дагестан, Карабудахкентский район, с. Гелли, ул. Клубная, 9;;;42,729551;47,401522;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Нурадилово;МБОУ ГИМНАЗИЯ;Республика Дагестан, Хасавюртовский район, с. Нурадилово, ул. Адилсултанова, 15;;;43,175;46,2729;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Карабудахкентский район;Село;Губден;МБОУ ГУБДЕНСКАЯ СОШ ИМ. АЛИЕВА О.А;Республика Дагестан, Карабудахкентский район, с. Губден, Амаева, 14;;;42,5675;47,5644;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Гунибский район;Село;Гуниб;МБОУ ГУНИБСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Гуниб, ул. им. Имама Шамиля, д. 103;;;42,38721;46,95807;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Гурбуки;МБОУ ГУРБУКИНСКАЯ СОШ №1;Республика Дагестан, Карабудахкентский район, с. Гурбуки, ул. Школьная, 2;;;42,606485;47,60778;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Доргели;МБОУ ДОРГЕЛИНСКАЯ СОШ № 1;Республика Дагестан, Карабудахкентский район, с. Доргели, ул. Садовая, 5;;;42,667076;47,292921;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Изано;МБОУ ИЗАНИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Изано;;;42,526381;46,404904;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Ингердах;МБОУ ИНГЕРДАХСКАЯ СОШ.;Республика Дагестан, Ахвахский район, с. Ингердах;;;42,588717;46,396992;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Буйнакский район;Село;Кадар;МБОУ Кадарская СОШ;Республика Дагестан, Буйнакский район, с. Кадар, ул. Алиева, д. 5;;;42,620213;47,288435;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Какашура;МБОУ КАКАШУРИНСКАЯ СОШ № 1;Республика Дагестан, Карабудахкентский район, с. Какашура, ул. Ленина, 4;;;42,6501;47,3802;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Какашура;МБОУ КАКАШУРИНСКАЯ СОШ № 2;Республика Дагестан, Карабудахкентский район, с. Какашура, ул. А.Вагабова, 3;;;42,6528;47,3858;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Карабудахкент;МБОУ КАРАБУДАХКЕНТСКАЯ СОШ № 2;Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Жуковского, 1;;;42,709994;47,573015;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Карабудахкент;МБОУ КАРАБУДАХКЕНТСКАЯ СОШ №1;Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 1;;;42,7123;47,5605;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Карамахи;МБОУ Карамахинская СОШ;Республика Дагестан, Буйнакский район, с. Карамахи, ул. Школьная, 1;;;42,617523;47,25722;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Карата;МБОУ КАРАТИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Карата, ул. Эшхинская, д. 5;;;42,595556;46,335833;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Городской округ город Каспийск;Город;Каспийск;МБОУ Каспийская гимназия 11;Республика Дагестан, г. Каспийск, ул. Орджоникидзе, 16;;;42,89131;47,635252;Общеобразовательная организация;Медь;10;ВОЛС;100.0
Городской округ город Каспийск;Город;Каспийск;МБОУ КАСПИЙСКАЯ ГИМНАЗИЯ;Республика Дагестан, г. Каспийск, ул. Орджоникидзе, 16;;;42,89131;47,635252;Общеобразовательная организация;Медь;10;ВОЛС;100.0
Буйнакский район;Село;К.Кумух;МБОУ Кафыркумухская СОШ;Республика Дагестан, Буйнакский район, с. К.Кумух, ул. Школьная, 1;;;42,85479;47,18459;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Кудиябросо;МБОУ КУДИЯБРОСИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Кудиябросо, ул. Кудиябросинская, 227;;;45,540682;46,377783;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Лицей 22 г. Махачкала;Республика Дагестан, г. Махачкала, пр. Шамиля, 42б;;;42,971667;47,483889;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Лицей 52 г. Махачкала;Республика Дагестан, г. Махачкала, ул. Ярагского, 78;;;42,970833;47,506389;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Лицей 8 г. Махачкала;Республика Дагестан, г. Махачкала, Кировский район, к. № 8;;;42,984916;47,504718;Общеобразовательная организация;Медь;4;ВОЛС;100.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Лицей №51 г. Махачкала;Республика Дагестан, г. Махачкала, ул. Островского,18;;;42,998434;47,458289;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Ахвахский район;Село;Лологонитль;МБОУ ЛОЛОГОНИТЛИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Лологонитль;;;42,513058;46,330562;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Манаскент;МБОУ МАНАСКЕНТСКАЯ СОШ;Республика Дагестан, Карабудахкентский район, с. Манаскент, ул. Коркмасова, 15;;;42,741525;47,691864;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Манас;МБОУ МАНАССКАЯ СОШ;Республика Дагестан, Карабудахкентский район, с. Манас, ул. Нурадилова, 10;;;42,728333;47,6784;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Местерух;МБОУ МЕСТЕРУХСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Местерух, ул. Местерухская, д. 2;;;42,576303;46,396161;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Многопрофильный лицей 3 г.Махачкала;Республика Дагестан, г. Махачкала, ул. Лёвина, 39;;;42,986519;47,497254;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Городской округ город Махачкала;Город;Махачкала;МБОУ Многопрофильный лицей 9 Махачкала;Республика Дагестан, г. Махачкала, ул. Лаптиева, 45;;;42,972041;47,536082;Общеобразовательная организация;Медь;15;ВОЛС;100.0
Буйнакский район;Село;Н.-Казанище;МБОУ Нижнеказанищенская СОШ 2;Республика Дагестан, Буйнакский район, с. Нижнее Казанище,  улица Уллубия Буйнакского, 124.;;;42,76411;47,1603;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Каякентский район;Село;Нововикри;МБОУ НОВОВИКРИНСКАЯ СОШ;Республика Дагестан, Каякентский район, с. Нововикри;;;42,297723;47,994891;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Карабудахкентский район;Село;Параул;МБОУ ПАРАУЛЬСКАЯ СОШ №2;Республика Дагестан, Карабудахкентский район, с. Параул, ул. Изиева, 34;;;42,741111;47,355692;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Первомайское;МБОУ Первомайская СОШ им. И.Г. Исакова;Республика Дагестан, Хасавюртовский район, с. Первомайское;;;43,437579;46,344479;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Шамильский район;Село;Сомода;МБОУ С;Республика Дагестан, Шамильский район, с. Сомода, ул Магомеда Тайгибова, 16;;;42,305992;46,53478;Общеобразовательная организация;Отсутствует;0;ВОЛС;50.0
Городской округ город Каспийск;Город;Каспийск;МБОУ СОШ № 6 ИМ. ОМАРОВА М.О.;Республика Дагестан, г. Каспийск, ул. Ленина, 74;;;42,896985;47,627968;Общеобразовательная организация;Медь;10;ВОЛС;100.0
Ахвахский район;Село;Тадмагитль;МБОУ ТАД-МАГИТЛИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Тадмагитль, ул. Тад-Магитлинская, д. 134а;;;42,549562;46,347443;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Цумадинский район;Село;Тинди;МБОУ Тиндинская СОШ Цумада;Республика Дагестан, Цумадинский район, с. Тинди;;;42,455113;46,134342;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Тукита;МБОУ ТУКИТИНСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Тукита, ул. Г.Хизриева, 41;;;43,492325;46,614109;Общеобразовательная организация;Медь;12;ВОЛС;50.0
Карабудахкентский район;Село;Уллубийаул;МБОУ УЛЛУБИЙАУЛЬСКАЯ СОШ;Республика Дагестан, Карабудахкентский район, с. Уллубийаул, ул. Карабудахкентская, 1;;;42,5981;47,7182;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Магарамкентский район;Село;Филя;МБОУ ФИЛЯЛИНСКАЯ СОШ;Республика Дагестан, Магарамкентский район, с. Филя, ул. Велибекова, 82;;;41,723921;48,458997;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Халимбекаул;МБОУ Халимбекаульская СОШ Буйнакск. район;Республика Дагестан, Буйнакский район, с. Халимбекаул, ул.Школьная д.2;;;42,83988;47,14643;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Цмур;МБОУ ЦМУРСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Цмур;;;41,684496;48,056347;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Ахвахский район;Село;Цолода;МБОУ ЦОЛОДИНСКАЯ СОШ;Республика Дагестан, Ахвахский район, с. Цолода, ул. Цолодинская, д. 88б;;;42,637768;46,370655;Общеобразовательная организация;Медь;15;ВОЛС;50.0
Буйнакский район;Село;Чиркей;МБОУ Чиркейский образовательный центр;Республика Дагестан, Буйнакский район, с. Чиркей, ул.Имама Шамиля 30;;;42,96057;46,9816;Общеобразовательная организация;Медь;4;ВОЛС;50.0
Буйнакский район;Село;Эрпели;МБОУ Эрпелинская СОШ;Республика Дагестан, Буйнакский район, с. Эрпели, ул. И. Акаева 4;;;42,80442;46,97243;Общеобразовательная организация;Медь;15;ВОЛС;50.0
