,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
143,Буйнакский район,Село,Карамахи,МКОУ Карамахинская ООШ ,"Республика Дагестан, Буйнакский район, с. Карамахи, ул. Школьная, 1",507041607.0,,"42,617523","47,25722",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
144,Каякентский район,Село,Каранайаул,МКОУ КАРАНАЙАУЛЬСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Каранайаул",515013642.0,,"42,514037","47,855001",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
145,Дахадаевский район,Село,Карбачимахи,МКОУ КАРБАЧИМАХИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Карбачимахи",511003107.0,,"42,007038","47,430652",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
146,Кизлярский район,Село,Кардоновка,МКОУ Кардоновская СОШ Кизляр. р-он ,"Республика Дагестан, Кизлярский район, с. Кардоновка, ул. Колхозная, д. 11",547006260.0,,"43,819179","46,838508",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
147,Левашинский район,Село,Карлабко,МКОУ КАРЛАБКИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Карлабко,  ул. Акушинская, д. 15",521008640.0,,"42,356659","47,392479",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
148,Сулейман-Стальский район,Село,Касумкент,МКОУ Касумкентская СОШ 1 ,"Республика Дагестан, Сулейман-стальский район, с. Касумкент, ул. Ленина, 35",,,"41,676047","48,152033",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
149,Сулейман-Стальский район,Село,Касумкент,МКОУ КАСУМКЕНТСКАЯ СОШ №2 ,"Республика Дагестан, Сулейман-стальский район, с. Касумкент, ул. Аминова, 9",,,"41,298","48,718",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
150,Каякентский район,Село,Каякент,МКОУ КАЯКЕНТСКАЯ СОШ № 2 ,"Республика Дагестан, Каякентский район, с. Каякент, ул. Гасаналиева, 12",515012663.0,,"42,3898","47,9063",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
151,Каякентский район,Село,Каякент,МКОУ КАЯКЕНТСКАЯ СОШ №1 ,"Республика Дагестан, Каякентский район, с. Каякент, ул. Шихсаидова, 54",515012656.0,,"42,39","47,9064",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
152,Гергебильский район,Село,Кикуни,МКОУ Кикунинская СОШ ,"Республика Дагестан, Гергебильский район, с. Кикуни, ул. Центральная, 4",508005640.0,,"42,30514","47,2907",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
153,Магарамкентский район,Село,Кирка,МКОУ КИРКИНСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Кирка, ул. Центральная, 10",523000164.0,,"41,531839","48,182354",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
154,Кумторкалинский район,Село,Коркмаскала,МКОУ КОРКМАСКАЛИНСКАЯ СОШ ,"Республика Дагестан, Кумторкалинский район, с. Коркмаскала, ул. Дзержинского, д. 45а",552002455.0,,"43,025111","47,293046",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
155,Кумторкалинский район,Село,Коркмаскала,МКОУ КОРКМАСКАЛИНСКАЯ СОШ-1 ,"Республика Дагестан, Кумторкалинский район, с. Коркмаскала, ул. Дзержинского, д. 45а",552002455.0,,"43,025111","47,293046",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
156,Тарумовский район,Село,Кочубей,МКОУ Кочубейская СОШ_1 ,"Республика Дагестан, Тарумовский район, с. Кочубей, пер. Садовый, д. 37а",531004797.0,,"44,232959","46,32592",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
157,Тарумовский район,Село,Кочубей,МКОУ Кочубейская СОШ_2 ,"Республика Дагестан, Тарумовский район, с. Кочубей, ул. Зульпукарова, 16",531004807.0,,"44,231146","46,345535",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
158,Кизлярский район,Село,Крайновка,МКОУ Крайновская СОШ Кизляр. р. ,"Республика Дагестан, Кизлярский район, с. Крайновка,ул. Нагибина, 22а",517000208.0,,"43,971433","47,377146",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
159,Кизлярский район,Село,Красный Восход,МКОУ Красновосходская СОШ Кизляр. р. ,"Республика Дагестан, Кизлярский район, с. Красный Восход, ул. П.Стаценко 41  ",547005901.0,,"43,861655","46,678551",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
160,Дахадаевский район,Село,Кубачи,МКОУ КУБАЧИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Кубачи, ул. Юсупа Шамова, 48",511002664.0,,"42,086454","47,599559",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
161,Дахадаевский район,Село,Кудагу,МКОУ КУДАГИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Кудагу",511003516.0,,"42,133108","47,730337",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
162,Магарамкентский район,Село,Куйсун,МКОУ КУЙСУНСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Куйсун, ул. А.И.Гаджиева, 2",523000460.0,,"41,72925","48,41199",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
163,Курахский район,Село,Кукваз,МКОУ КУКВАЗСКАЯ НОШ ,"Республика Дагестан, Курахский район, с. Кукваз",519002105.0,,"41,59979","47,707213",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
164,Левашинский район,Село,Кулецма,МКОУ КУЛЕЦМИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Кулецма, ул. Имама Шамиля, д. 180",521008714.0,,"42,555501","47,228489",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
165,Кулинский район,Село,Кули,МКОУ КУЛИНСКАЯ СОШ №1 ,"Республика Дагестан, Кулинский район, с. Кули, ул. М.Гаджиева, 145",518001250.0,,"42,018611","47,243611",Общеобразовательная организация,Спутник,4.0,ВОЛС,50.0
166,Кулинский район,Село,Кули,МКОУ КУЛИНСКАЯ СОШ №2 ,"Республика Дагестан, Кулинский район, с. Кули, ул. А.Гафурова, 1",518001290.0,,"42,01749","47,2391",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
167,Дербентский район,Село,Куллар,МКОУ КУЛЛАРСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Куллар, Молодежная, 1",512011510.0,,"41,49","48,23",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
168,Лакский район,Село,Кумух,МКОУ КУМУХСКАЯ СОШ ,"Республика Дагестан, Лакский район, с. Кумух, ул. Манарова, 4",520002501.0,,"42,170337","47,116605",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
169,Ногайский район,Село,Кунбатар,МКОУ КУНБАТАРСКАЯ СОШ ,"Республика Дагестан, Ногайский район, с. Кунбатар, ул. Курманалиева, 6",525006161.0,,"44,29119","45,587201",Общеобразовательная организация,Спутник,12.0,ВОЛС,50.0
170,Дахадаевский район,Село,Кунки,МКОУ КУНКИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Кунки",511003523.0,,"41,95982","47,474161",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
171,Левашинский район,Село,Куппа,МКОУ КУППИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Куппа, ул. К.Магомедова, 41",521008464.0,,"42,422594","47,121611",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
172,Агульский район,Село,Кураг,МКОУ КУРАГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Кураг.",,,"41,83669","47,660988",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
173,Курахский район,Село,Курах,МКОУ КУРАХСКАЯ СОШ №1 ,"Республика Дагестан, Курахский район, с. Курах, ул. Школьная, 4",,,"41,34","47,47",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
174,Курахский район,Село,Курах,МКОУ КУРАХСКАЯ СОШ №2 ,"Республика Дагестан, Курахский район, с. Курах, ул. Лезгинцева,13а",519001920.0,,"41,35","47,46",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
175,Сулейман-Стальский район,Село,Куркент,МКОУ КУРКЕНТСКАЯ СОШ №1 ,"Республика Дагестан, Сулейман-стальский район, с. Куркент, ул. Ленина, 20",529006941.0,,"41,712025","48,115471",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
176,Сулейман-Стальский район,Село,Куркент,МКОУ КУРКЕНТСКАЯ СОШ №2 ,"Республика Дагестан, Сулейман-стальский район, с. Куркент, ул. Пушкина, 12",529009734.0,,"41,12332","48,415",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
177,Дахадаевский район,Село,Курки,МКОУ КУРКИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Курки",511002872.0,,"42,089444","47,474229",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
178,Ахтынский район,Село,Курукал,МКОУ КУРУКАЛЬСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Курукал",504006386.0,,"41,437635","47,691535",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
179,Хасавюртовский район,Село,Куруш,МКОУ КУРУШСКАЯ СОШ №1 ,"Республика Дагестан, Хасавюртовский район, с. Куруш, ул. Бекюрова, 37",534021663.0,,"43,386608","46,757823",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
180,Хасавюртовский район,Село,Куруш,МКОУ КУРУШСКАЯ СОШ №2 ,"Республика Дагестан, Хасавюртовский район, с. Куруш, ул. Бекюрова, 38",534000624.0,,"43,386393","46,75994",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
181,Хасавюртовский район,Село,Куруш,МКОУ КУРУШСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Куруш, ул. Бекюрова, 38",534021663.0,,"43,386393","46,75994",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
182,Акушинский район,Село,Курьи,МКОУ КУРЬИМАХИНСКАЯ СОШ ,"Республика Дагестан, Акушинский район, с. Курьи, ул. Чакникат, д. 1",502004947.0,,"42,181061","47,182235",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
183,Магарамкентский район,Село,Кчун-Казмаляр,МКОУ КЧУНКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Кчун-Казмаляр, ул. Школьная, 10а",523000301.0,,"47,762986","48,486135",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
184,Хивский район,Село,Лака,МКОУ ЛАКИНСКАЯ ООШ ,"Республика Дагестан, Хивский район, с. Лака",535003681.0,,"41,756577","47,881116",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
185,Левашинский район,Село,Леваши,МКОУ ЛЕВАШИНСКАЯ ГИМНАЗИЯ ,"Республика Дагестан, Левашинский район с. Леваши, ул. Школьная, 6",521008619.0,,"42,427247","47,322176",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
186,Левашинский район,Село,Леваши,МКОУ ЛЕВАШИНСКАЯ СОШ №2 ,"Республика Дагестан, Левашинский район с. Леваши, ул.С.Орджоникидзе, д.103",521008383.0,,"42,440526","47,333361",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
187,Левашинский район,Село,Леваши,МКОУ ЛЕВАШИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Леваши, ул.С.Орджоникидзе, д.103",521008383.0,,"42,440526","47,333361",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
188,Ногайский район,Село,Ленинаул,МКОУ ЛЕНИНАУЛЬСКАЯ СОШ ,"Республика Дагестан, Ногайский район, с. Ленинаул, ул. Кумукова, 12",525006147.0,,"44,194081","46,019636",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
189,Ногайский район,Село,Ленинаул,МКОУ Ленинаульская СОШ_2 ,"Республика Дагестан, Ногайский район, с. Ленинаул, ул. Кумукова, 12",525006147.0,,"44,194081","46,019636",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
190,Ахтынский район,Село,Луткун,МКОУ ЛУТКУНСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Луткун, ул.Вагуф Буба, 43",504006996.0,,"41,49566","47,55595",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
191,Бабаюртовский район,Село,Львовское № 1,МКОУ ЛЬВОВСКАЯ СОШ ,"Республика Дагестан, Бабаюртовский район, с. Львовское № 1, ул. Забитова, 99",505002786.0,,"43,386684","47,146982",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
192,Гергебильский район,Село,Маали,МКОУ Маалинская СОШ ,"Республика Дагестан, Гергебильский район, с. Маали, ул. Школьная, 9",508008828.0,,"42,29882","46,551306",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
193,Магарамкентский район,Село,Магарамкент,МКОУ МАГАРАМКЕНТСКАЯ СОШ №1 ,"Республика Дагестан, Магарамкентский район, с. Магарамкент, ул. Ленина, 7",523000615.0,,"41,617297","48,352359",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
194,Магарамкентский район,Село,Магарамкент,МКОУ МАГАРАМКЕНТСКАЯ СОШ №2 ,"Республика Дагестан, Магарамкентский район, с. Магарамкент, ул.Агасиева, 30",523000686.0,,"41,616094","48,344219",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
195,Чародинский район,Село,Магар,МКОУ Магарская СОШ Чарод-ий район ,"Республика Дагестан, Чародинский район, с. Магар",539002456.0,,"42,194987","46,843024",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
196,Чародинский район,Село,Магар,МКОУ Магарская СОШ Чародинский ,"Республика Дагестан, Чародинский район, с. Магар",539002456.0,,"42,194987","46,843024",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
197,Кайтагский район,Село,Маджалис,МКОУ МАДЖАЛИССКАЯ СОШ ,"Республика Дагестан, Кайтагский район, с. Маджалис, ул.Алисултанова, д.116",514003722.0,,"42,118445","47,829146",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
198,Кизлярский район,Село,Малая Козырёвка,МКОУ Малокозыревская ООШ ,"Республика Дагестан, Кизлярский район, с. Малая Козырёвка, ул. Ленина, 1",547006334.0,,"43,906177","46,816609",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
199,Дербентский район,Поселок,Мамедкала,МКОУ МАМЕДКАЛИНСКАЯ ГИМНАЗИЯ ,"Республика Дагестан, Дербентский район, п. Мамедкала, ул. Школьная, 3",512011654.0,,"42,095731","48,065959",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
200,Буйнакский район,Село,Манасаул,МКОУ Манасаульская СОШ ,"Республика Дагестан, Буйнакский район, с. Манасаул.",507019873.0,,"42,758802","47,039666",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
201,Левашинский район,Село,Мекеги,МКОУ МЕКЕГИНСКИЙ ЛИЦЕЙ ,"Республика Дагестан, Левашинский район с. Мекеги, ул. Н.Гапизова, 1",521008915.0,,"42,396231","47,46003",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
202,Дахадаевский район,Село,Меусиша,МКОУ МЕУСИШИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Меусиша",,,"42,201061","47,59536",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
203,Гумбетовский район,Село,Мехельта,МКОУ МЕХЕЛЬТИНСКАЯ ООШ ,"Республика Дагестан, Гумбетовский район, с. Мехельта, ул. Сахрата Керимова, д.67",509006735.0,,"42,4758","46,3001",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
204,Гумбетовский район,Село,Мехельта,МКОУ МЕХЕЛЬТИНСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Мехельта, ул. Школьная, 2",509006358.0,,"42,4716","46,3009",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
205,Докузпаринский район,Село,Килер,МКОУ МИКРАХКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Докузпаринский район, с. Килер, ул. Килер, 10",553003388.0,,"41,224741","47,541928",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
206,Докузпаринский район,Село,Микрах,МКОУ МИКРАХСКАЯ СОШ ,"Республика Дагестан, Докузпаринский район, с. Микрах, ул. Гаджимурадова, 1",553212293.0,,"41,222495","47,531422",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
207,Дахадаевский район,Село,Мирзидиты,МКОУ МИРЗИДТЫНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Мирзидиты",511003435.0,,"42,130579","47,477821",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
208,Докузпаринский район,Село,Мискинджа,МКОУ МИСКИНДЖИНСКАЯ СОШ ,"Республика Дагестан, Докузпаринский район, с. Мискинджа, ул. М.Ахундова, 7а",553002970.0,,"41,252493","47,505279",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
209,Агульский район,Село,Мисси,МКОУ МИССИНСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Мисси",501001816.0,,"41,809167","47,603889",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
210,Дербентский район,Село,Митаги-Казмаляр,МКОУ МИТАГИ - КАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Митаги-Казмаляр",512027189.0,,"42,040822","48,200161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
211,Дербентский район,Село,Митаги,МКОУ МИТАГИНСКАЯ ООШ ,"Республика Дагестан, Дербентский район, с. Митаги",512011559.0,,"42,016506","48,190778",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
212,Дербентский район,Село,Мичурино,МКОУ МИЧУРИНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Мичурино",512027319.0,,"42,179043","48,197768",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
213,Дахадаевский район,Село,Морское,МКОУ МОРСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Морское",511002914.0,,"42,239217","48,142243",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
214,Дербентский район,Село,Мугарты,МКОУ МУГАРТЫНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Мугарты",512027196.0,,"41,997356","48,16173",Общеобразовательная организация,Медь,1.0,ВОЛС,50.0
215,Магарамкентский район,Село,Мугерган,МКОУ МУГЕРГАНСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Мугерган, ул.  А.Садыкова, 45",523000446.0,,"41,522325","48,177546",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
216,Акушинский район,Село,Муги,МКОУ МУГИНСКИЙ ЛИЦЕЙ ,"Республика Дагестан, Акушинский район, с. Муги, ул. М.Гаджиева, д. 66",502004464.0,,"42,175866","47,252157",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
217,Дербентский район,Село,Музаим,МКОУ МУЗАИМСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Музаим",512011686.0,,"41,907913","48,293076",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
218,Левашинский район,Село,Мусультемахи,МКОУ МУСУЛЬТЕМАХИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Мусультемахи, ул. Школьная, 1",521008922.0,,"42,363334","47,188695",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
219,Сергокалинский район,Село,Мюрего,МКОУ МЮРЕГИНСКАЯ СОШ ,"Республика Дагестан, Сергокалинский район, с. Мюрего, ул. Школьная,д. 101",527001592.0,,"42,4057","47,6902",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
220,Гунибский район,Село,Н. Кегер,МКОУ Н.КЕГЕРСКАЯ СОШ ,"Республика Дагестан, Гунибский район, с. Нижний Кегер, ул. Заводская, 55",510008247.0,,"42,4024","46,97537",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
221,Ногайский район,Село,Нариман,МКОУ НАРИМАНСКАЯ СОШ ,"Республика Дагестан, Ногайский район, с. Нариман, ул. Батырова, 7а",525006108.0,,"44,188969","45,839621",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
222,Левашинский район,Село,Наскент,МКОУ НАСКЕНТСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Наскент, ул. Расула Даудова, д. 22",521010174.0,,"42,377455","47,334965",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
223,Кизлярский район,Село,Некрасовка,МКОУ Некрасовская СОШ ,"Республика Дагестан, Кизлярский район, с. Некрасовка, ул. Школьная, д. 103",547006207.0,,"43,83037","46,957022",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
224,Кизилюртовский район,Село,Нечаевка,МКОУ НЕЧАЕВСКАЯ СОШ №1 ,"Республика Дагестан, Кизилюртовский район, с. Нечаевка, ул. Имама Шамиля, 6",516008236.0,,"43,270076","46,910955",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
225,Кизилюртовский район,Село,Нечаевка,МКОУ НЕЧАЕВСКАЯ СОШ №2 ,"Республика Дагестан, Кизилюртовский район, с. Нечаевка, ул. И.Гамзата, 35",516008123.0,,"43,269438","46,923153",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
226,Ботлихский район,Село,Нижнее Инхело,МКОУ НИЖНЕ-ИНХЕЛОВСКАЯ ООШ ,"Республика Дагестан, Ботлихский район с. Инхело, ул. Саида Ободинского, д. 28",506005892.0,,"42,645152","46,254722",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
227,Гумбетовский район,Село,Нижнее – Инхо,МКОУ НИЖНЕ-ИНХОВСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Нижнее – Инхо, ул.Центральная, д.74",509006534.0,,"42,4214","46,3028",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
228,Буйнакский район,Село,Н.-Казанище,МКОУ Нижнеказанищенская СОШ 4 ,"Республика Дагестан, Буйнакский район, с. Нижнее Казанище, ул.Бийболатова, 1",507041205.0,,"42,76578","47,15593",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
229,Буйнакский район,Село,Н.-Казанище,МКОУ НИЖНЕКАЗАНИЩЕНСКАЯ СОШ № 2 ,"Республика Дагестан, Буйнакский район, с. Нижнее Казанище,  улица Уллубия Буйнакского, 124.",507009723.0,,"42,76411","47,1603",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
230,Кизилюртовский район,Село,Нижний Чирюрт,МКОУ НИЖНЕЧИРЮРТОВСКАЯ СОШ ,"Республика Дагестан, Кизилюртовский район, с. Нижний Чирюрт, ул. Арацханова, 2",516008155.0,,"43,174572","46,858534",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
231,Левашинский район,Село,Нижнее-Чугли,МКОУ НИЖНЕ-ЧУГЛИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Нижнее Чугли, ул. Саида Афанди, 267",521008432.0,,"42,463268","47,293161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
232,Буйнакский район,Село,Н.-Каранай,МКОУ Н-Каранайская ООШ ,"Республика Дагестан, Буйнакский район, с. Н.-Каранай.",507019993.0,,"42,844088","46,940751",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
233,Гумбетовский район,Село,Ново-Аргвани,МКОУ НОВО-АРГВАНИНСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Ново-Аргвани, ул.  Им Нурмагомеда Алиева, д. 97",509006527.0,,"42,4639","46,3624",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
234,Магарамкентский район,Село,Новый Аул,МКОУ НОВОАУЛЬСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Новый Аул, ул. Школьная, 1",523000647.0,,"41,72718","48,23366",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
235,Кизлярский район,Село,Новогладовка,МКОУ Новогладовская ООШ ,"Республика Дагестан, Кизлярский район, с. Новогладовка, ул. Новая",547006091.0,,"43,848119","46,895022",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
236,Докузпаринский район,Село,Новое Каракюре,МКОУ НОВОКАРАКЮРИНСКАЯ СОШ ,"Республика Дагестан, Докузпаринский район, с. Новое Каракюре, ул. Абусаида Керимова, 34",553002810.0,,"41,263461","47,570413",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
237,Каякентский район,Село,Новокаякент,МКОУ Новокаякентская СОШ ,"Республика Дагестан, Каякентский район, с. Новокаякент, ул. Дахадаева, 39",515012649.0,,"42,3812","47,985",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
238,Новолакский район,Село,Новолакское,МКОУ НОВОЛАКСКАЯ ГИМНАЗИЯ ,"Республика Дагестан, Новолакский район, с. Новолакское, ул. Школьная, 1",524006313.0,,"43,079221","46,453499",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
239,Новолакский район,Село,Новолакское,МКОУ Новолакская СОШ 1 Новолак. р-он ,"Республика Дагестан, Новолакский район, с. Новолакское, ул. Воронежская, 51",524005101.0,,"43,127649","46,484861",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
240,Табасаранский район,Село,Новое Лидже,МКОУ Новолидженская СОШ ,"Республика Дагестан, Табасаранский район, с. Новое Лидже, ул. Школьная, 2",530007964.0,,"41,583681","48,029191",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
241,Сулейман-Стальский район,Село,Новая Мака,МКОУ НОВОМАКИНСКАЯ СОШ ,"Республика Дагестан, Сулейман-стальский район, с. Новая Мака, ул. Ленина, 6А",,,"41,623","48,878",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
242,Новолакский район,Село,Новомехельта,МКОУ НОВОМЕХЕЛЬТИНСКАЯ СОШ ,"Республика Дагестан, Новолакский район, с. Новомехельта, ул. Хамидова, 14",524005214.0,,"43,252553","46,545029",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
243,Ахтынский район,Село,Ново-Усур,МКОУ НОВО-УСУРСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Ново-Усур, ул. Малла-Прима, д. 41",511002914.0,,"41,697654","48,353338",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
244,Новолакский район,Село,Новочуртах,МКОУ НОВОЧУРТАХСКАЯ СОШ №1 ,"Республика Дагестан, Новолакский район, с. Новочуртах, ул. Центральная, д.46",524005060.0,,"43,21106","46,541698",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
245,Новолакский район,Село,Новочуртах,МКОУ НОВОЧУРТАХСКАЯ СОШ №2 ,"Республика Дагестан, Новолакский район, с. Новочуртах, ул. Школьная, д.1",524007331.0,,"43,201252","46,533775",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
246,Новолакский район,Село,Новочуртах,МКОУ НОВОЧУРТАХСКАЯ СОШ ,"Республика Дагестан, Новолакский район, с. Новочуртах, ул. Школьная, д.1",524005060.0,,"43,201252","46,533775",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
247,Шамильский район,Село,Куаниб,МКОУ НОШ РАДОСТЬ ,"Республика Дагестан, Шамильский район, с. Куаниб",532007381.0,,"42,50951","46,61102",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
248,Дербентский район,Село,Нюгди,МКОУ НЮГДИНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Нюгди",512011566.0,,"41,860166","48,435284",Общеобразовательная организация,Медь,1.0,ВОЛС,50.0
