,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
697,Левашинский район,Село,Тилагу,МКОУ ТИЛАГИНСКАЯ ООШ,"Республика Дагестан, Левашинский район с. Тилагу",521010209.0,,"42,424219","47,100267",,Медь,4.0,ВОЛС,50.0
698,Табасаранский район,Село,Тиниг,МКОУ ТИНИТСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Тиниг",530005639.0,,"41,912432","48,053489",,Медь,4.0,ВОЛС,50.0
699,Гунибский район,Село,Куяда,МКОУ ТЛОГОБСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Куяда",510008279.0,,"42,418941","46,814247",,Медь,4.0,ВОЛС,50.0
700,Ботлихский район,Село,Тлох,МКОУ ТЛОХСКАЯ СОШ,"Республика Дагестан, Ботлихский район с. Тлох",506006254.0,,"42,674192","46,466841",,Медь,4.0,ВОЛС,50.0
701,Шамильский район,Село,Тлях,МКОУ Тляхская СОШ,"Республика Дагестан, Шамильский район, с. Тлях",528008304.0,,"42,389828","46,539435",,Медь,4.0,ВОЛС,50.0
702,Шамильский район,Село,Тогох,МКОУ Тогохская СОШ,"Республика Дагестан, Шамильский район, с. Тогох",528008270.0,,"42,502053","46,574547",,Медь,4.0,ВОЛС,50.0
703,Хасавюртовский район,Село,Тотурбийкала,МКОУ ТОТУРБИЙКАЛИНСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Тотурбийкала",534021977.0,,"43,207912","46,689533",,Медь,12.0,ВОЛС,50.0
704,Табасаранский район,Село,Тураг,МКОУ ТУРАГСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Тураг",530007675.0,,"41,860318","47,971978",,Медь,4.0,ВОЛС,50.0
705,Табасаранский район,Село,Туруф,МКОУ ТУРУФСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Туруф",530007700.0,,"41,90514","48,006497",,Медь,4.0,ВОЛС,50.0
706,Новолакский район,Село,Тухчар,МКОУ ТУХЧАРСКАЯ СОШ №1,"Республика Дагестан, Новолакский район, с. Тухчар, ул. Первая, 10",524007268.0,,"43,219312","46,410066",,Медь,4.0,ВОЛС,50.0
707,Новолакский район,Село,Тухчар,МКОУ ТУХЧАРСКАЯ СОШ,"Республика Дагестан, Новолакский район, с. Тухчар, ул. Первая, 10",524007268.0,,"43,219312","46,410066",,Медь,4.0,ВОЛС,50.0
708,Кизлярский район,Село,Тушиловка,МКОУ Тушиловская ООШ,"Республика Дагестан, Кизлярский район, с. Тушиловка",547005997.0,,"44,309418","46,881245",,Медь,4.0,ВОЛС,50.0
