Наименование;ИНН;Адрес;
МКОУ 'ГИМНАЗИЯ ТАБАСАРАНСКОГО РАЙОНА';0530009418;"Российская Федерация,368650,Дагестан Респ,Табасаранский р-н,Хучни с,УЛИЦА АЙДЕМИРОВА ГАСАНБЕКА АЙДЕМИРОВИЧА,ДОМ 16""А"""
МКОУ ВАНАШИНСКАЯ ООШ;0507004122;Российская Федерация,368211,Дагестан Респ,Буйнакский р-н,Карамахи с,УЛИЦА ВАНАШИМАХИНСКАЯ,ДОМ 35
МКОУ В-ДЖЕНГУТАЕВСКАЯ СОШ;0507009770;Российская Федерация,368209,Дагестан Респ,Буйнакский р-н,Верхний Дженгутай с,УЛ ИМАМА ШАМИЛЯ,ДОМ 2
МКОУ 'КИКУНИНСКАЯ СОШ';0508005640;Российская Федерация,368241,Дагестан Респ,Гергебильский р-н,Кикуни с,УЛИЦА ЦЕНТРАЛЬНАЯ Г,ДОМ 4
МКОУ 'ТУНЗИНСКАЯ НОШ';0508003851;Российская Федерация,368258,Дагестан Респ,Гергебильский р-н,Тунзи с
МКОУ 'МУРАДИНСКАЯ СОШ';0508008507;Российская Федерация,368255,Дагестан Респ,Гергебильский р-н,Мурада с
МКОУ 'ГЕРГЕБИЛЬСКАЯ СОШ №2';0508008539;Российская Федерация,368250,Дагестан Респ,Гергебильский р-н,Гергебиль с,ЛИНИЯ НАИБА ИДРИСА,ДОМ 39
МКОУ 'ГЕРГЕБИЛЬСКАЯ СОШ №1';0508008458;Российская Федерация,368250,Дагестан Респ,Гергебильский р-н,Гергебиль с,УЛ ПУШКИНА,ДОМ 5
МКОУ 'ЧАЛДИНСКАЯ СОШ';0508008793;Российская Федерация,368256,Дагестан Респ,Гергебильский р-н,Чалда с
МКОУ 'ХВАРТИКУНИНСКАЯ СОШ';0508008585;Российская Федерация,368258,Дагестан Респ,Гергебильский р-н,Хвартикуни с,УЛ ШКОЛЬНАЯ,ДОМ 5
МКОУ 'МОГОХСКАЯ СОШ';0508009250;Российская Федерация,368256,Дагестан Респ,Гергебильский р-н,Могох с,УЛИЦА ЛЕНИНА,ДОМ 20
МКОУ 'КУДУТЛИНСКАЯ СОШ';0508009980;Российская Федерация,368252,Дагестан Респ,Гергебильский р-н,Кудутль с,УЛ МАХМУДА КАХАБ РОСУ,ДОМ 5
МКОУ 'ГОЦОБСКАЯ НОШ';0508001678;Российская Федерация,368256,Дагестан Респ,Гергебильский р-н,Гоцоб с,УЛ ЛЕСНАЯ,ДОМ 23
МКОУ 'АЙМАКИНСКАЯ СОШ ИМ.ШАМИЛЯ Л.З.';0508008835;Российская Федерация,368257,Дагестан Респ,Гергебильский р-н,Аймаки с,УЛ УМАЛГОХ,ДОМ 2
МКОУ Агачкалинская СОШ;0507019792;Российская Федерация,368213,Дагестан Респ,Буйнакский р-н,Агачкала с,-
МКОУ 'ЯСНОПОЛЯНСКАЯ СОШ';0517008207;Российская Федерация,368804,Дагестан Респ,Кизлярский р-н,Ясная Поляна с,ул Г.ЦАДАСЫ
МКОУ 'ЯРКУГСКАЯ СОШ';0501001870;Российская Федерация,368389,Дагестан Респ,Агульский р-н,Яркуг с
МКОУ 'ЯНГИКЕНТСКАЯ СОШ';0514003803;Российская Федерация,368595,Дагестан Респ,Кайтагский р-н,Янгикент с,УЛИЦА ПОБЕДЫ,ДОМ 7
МКОУ 'ЯМАНСУЙСКАЯ СОШ';0524005172;Российская Федерация,368049,Дагестан Респ,Новолакский р-н,Ямансу с
МКОУ 'ЯЛАКСКАЯ ООШ'ИМ.И.М.ИСАБЕКОВА;0504006516;Российская Федерация,368741,Дагестан Респ,Ахтынский р-н,Ялак с,УЛ ГАДЖИ ИБРАГИМА ЭФЕНДИ,ДОМ 34
МКОУ 'ЯГДЫГСКАЯ  СОШ №2';0530008735;Российская Федерация,368650,Дагестан Респ,Табасаранский р-н,Ягдыг с
МКОУ 'ЯГДЫГСКАЯ СОШ №1';0530008132;Российская Федерация,368650,Дагестан Респ,Табасаранский р-н,Ягдыг с,УЛИЦА ВЕРХНИЙ ЯГДЫГ,ДОМ 40
МКОУ  'ЮХАРИСТАЛЬСКАЯ СОШ';0529010553;Российская Федерация,368774,Дагестан Респ,Сулейман-Стальский р-н,Юхари-Стал с,УЛИЦА ЛЕНИНА,ДОМ 6
МКОУ 'ЮХАРИКАРТАССКАЯ ООШ';0529010602;Российская Федерация,368764,Дагестан Респ,Сулейман-Стальский р-н,Юхари-Картас с
МКОУ 'ЮРКОВСКАЯ СОШ';0531004765;Российская Федерация,368897,Дагестан Респ,Тарумовский р-н,Юрковка с,УЛ СОВЕТСКАЯ,152
МКОУ 'Ю- АРХИТСКАЯ НОШ';0535003875;Российская Федерация,368685,Дагестан Респ,Хивский р-н,Юхари-Архит с
МКОУ 'ЭМИНХЮРСКАЯ СОШ' ИМ. А.Г. САИДОВА;0529010521;Российская Федерация,368767,Дагестан Респ,Сулейман-Стальский р-н,Эминхюр с
МКОУ 'ЭКИБУЛАКСКАЯ ООШ';0507020090;Российская Федерация,368207,Дагестан Респ,Буйнакский р-н,Экибулак с
МКОУ 'ЭКЕНДИЛЬСКАЯ НОШ';0529010472;Российская Федерация,368773,Дагестан Респ,Сулейман-Стальский р-н,Экендиль с
МКОУ 'ЭБДАЛАИНСКАЯ СОШ';0521010336;Российская Федерация,368317,Дагестан Респ,Левашинский р-н,Эбдалая с
МКОУ 'ЩАРИНСКАЯ СОШ' ЛАКСКОГО РАЙОНА РД;0520001836;Российская Федерация,368364,Дагестан Респ,Лакский р-н,Шара с
МКОУ 'ШУШИНСКАЯ СОШ';0524005359;Российская Федерация,368049,Дагестан Респ,Новолакский р-н,Шушия с
МКОУ 'ШУРАГАТСКАЯ НОШ';0514003296;Российская Федерация,368594,Дагестан Респ,Кайтагский р-н,Шурагат с,УЛИЦА КОМСОМОЛЬСКАЯ,ДОМ 24
МКОУ 'Шуланинская СОШ';0510008494;Российская Федерация,368356,Дагестан Респ,Гунибский р-н,Щулани с,-
МКОУ 'ШУКТЫНСКАЯ СОШ';0502005436;Российская Федерация,368297,Дагестан Респ,Акушинский р-н,Шукты с
МКОУ 'ШОТОТИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА';0536006565;Российская Федерация,368264,Дагестан Респ,Хунзахский р-н,Шотода с,0
МКОУ 'ШОДРОДИНСКАЯ СОШ';0506006222;Российская Федерация,368980,Дагестан Респ,Ботлихский р-н,Шодрода с,УЛ ШКОЛЬНАЯ,ДОМ 10
МКОУ 'ШОВКРИНСКАЯ ООШ'  ИМ. ГАДЖИЕВА Г. А.;0520001868;Российская Федерация,368360,Дагестан Респ,Лакский р-н,Шовкра с
МКОУ 'ШИХИКЕНТСКАЯ СОШ';0529009950;Российская Федерация,368763,Дагестан Респ,Сулейман-Стальский р-н,Шихикент с
МКОУ 'ШИНКБАЛАКАДИНСКАЯ ООШ';0502005370;Российская Федерация,368295,Дагестан Респ,Акушинский р-н,Шинкбалакада с,УЛ ШИНКБАЛАКАДАМАХИНСКИЙ,ДОМ 34
МКОУ 'ШИНАЗСКАЯ СОШ';0526004128;Российская Федерация,368700,Дагестан Респ,Рутульский р-н,Шиназ с
МКОУ 'Шиназская НОШ';0526013299;Российская Федерация,368700,Дагестан Респ,Рутульский р-н,Шиназ с,ШКОЛЬНАЯ,ДОМ 22
МКОУ 'ШИМИХЮРСКАЯ СОШ- ДЕТСКИЙ САД';0519001912;Российская Федерация,368185,Дагестан Респ,Курахский р-н,Шимихюр с,УЛИЦА ШКОЛЬНАЯ,ДОМ 1
МКОУ 'ШИЛЯГИНСКАЯ СОШ';0514003070;Российская Федерация,368593,Дагестан Респ,Кайтагский р-н,Шиляги с,УЛИЦА АДМИНИСТРАТИВНАЯ,ДОМ 6
МКОУ 'ШИЛЕНСКАЯ СОШ';0530007604;Российская Федерация,368657,Дагестан Респ,Табасаранский р-н,Шилле с,УЛИЦА ШКОЛЬНАЯ,ДОМ 1
МКОУ 'ШИВОРТИНСКАЯ НОШ';0506063750;Российская Федерация,368979,Дагестан Респ,Ботлихский р-н,Чанко с
МКОУ 'ШАУРИНСКАЯ СОШ';0538001770;Российская Федерация,368413,Дагестан Респ,Цунтинский р-н,Шаури с,УЛ ГАДЖИЕВА КАМИЛЯ СИРАЖУДИНОВИЧА,ДОМ 74
МКОУ 'ШАУМЯНОВСКАЯ ООШ';0547005838;Российская Федерация,368830,Дагестан Респ,Кизлярский р-н,Имени Шаумяна с,ул ЛЕНИНА
МКОУ 'ШАПИХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА';0538001837;Российская Федерация,368415,Дагестан Респ,Цунтинский р-н,Шапих с,УЛИЦА ГАЛБАЦОВА АБДУЛМАЖИДА АЛИБАХАРЧИЕВИЧА,ДОМ 19
МКОУ 'ШАМХАЛЯНГИЮРТОВСКАЯ СОШ';0552002504;Российская Федерация,368084,Дагестан Респ,Кумторкалинский р-н,Шамхал-Янгиюрт с
МКОУ 'ШВСОШ ПРИ УЧРЕЖДЕНИИ 92/2' УФСИН МИНЮСТА РФ ПО РД;0560030921;Российская Федерация,367912,Дагестан Респ,Махачкала г
МКОУ 'ШАБДУХСКАЯ НОШ';0509006703;Российская Федерация,368930,Дагестан Респ,Гумбетовский р-н,Шабдух с
МКОУ 'ЧУХВЕРКЕНТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА';0529010384;Российская Федерация,368779,Дагестан Респ,Сулейман-Стальский р-н,Чухверкент с,УЛ Г.Э.АЛКАДАРСКОГО,ДОМ 22
МКОУ 'ЧУРТАХСКАЯ ООШ ИМ. МУДУЕВА С. Ш.' ЛАКСКОГО РАЙОНА РД;0520002043;Российская Федерация,368365,Дагестан Респ,Лакский р-н,Чуртах с,УЛ ВЕРХНЯЯ,ДОМ 10
МКОУ 'Чунинская СОШ';0521007189;Российская Федерация,368317,Дагестан Респ,Левашинский р-н,Чуни с,-
МКОУ 'ЧУМЛИНСКАЯ СОШ';0514003183;"Российская Федерация,368595,Дагестан Респ,Кайтагский р-н,Чумли с,УЛ ШКОЛЬНАЯ,ДОМ 1""А"""
МКОУ 'ЧУЛАТСКАЯ СОШ';0530007690;Российская Федерация,368664,Дагестан Респ,Табасаранский р-н,Чулат с
МКОУ 'ЧУВЕКСКАЯ СОШ ИМ.А.СЕФЕРБЕКОВА';0535003890;Российская Федерация,368688,Дагестан Респ,Хивский р-н,Чувек с
МКОУ 'Чохская СОШ';0510008511;Российская Федерация,368350,Дагестан Респ,Гунибский р-н,Чох с,-
