Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Ботлихский район;Село;Ботлихский;Республика Дагестан, Ботлихский район, с. Алак, ул Толбоева, 3;42,638275;46,205071;МКОУ «Верхне-Алакская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Дахадаевский район;Село;Бускри;Республика Дагестан, Дахадаевский район, с. Бускри;42,086235;47,557674;МКОУ «Гаджи-кутанская   ООШ»;Спутник;1,000;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Гарах;Республика Дагестан, Магарамкентский район, с. Гарах, ул. Самурского, 2;41,482002;48,048780;МКОУ «Гарахская ООШ»;Медь;1;"ПАО ""Ростелеком""";ВОЛС;50
Гергебильский район;Село;Гергебиль;Республика Дагестан, Гергебильский район, с. Гергебиль, ул.Пушкина, 5;42,301542;47,335560;МКОУ «Гергебильская СОШ №1»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Нурадилово;Республика Дагестан, Хасавюртовский район, с. Нурадилово, ул. Адилсултанова, 15;43,175000;46,272900;МКОУ «Гимназия Культуры мира им. А.Д.Адилсолтанова»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Ботлихский;Республика Дагестан, Ботлихский район, с. Гунха, ул Гунховская, 65;42,790573;46,281947;МКОУ «Гунховская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Цунтинский район;Село;Гутатли;Республика Дагестан, Цунтинский район, с. Гутатли, ул. М.Гамзатова, дом 6;42,121913;45,561084;МКОУ «Гутатлинская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Даркушказмаляр;Республика Дагестан, Сулейман-стальский район, с. Даркушказмаляр, ул. А.Сайдумова, 11;41,077000;48,755000;МКОУ «Даркушказмалярская СОШ им.М.Шабанова»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Чародинский район;Село;Дусрах;Республика Дагестан, Чародинский район, с. Дусрах;42,127583;46,878202;МКОУ «Дусрахская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Дылым;Республика Дагестан, Казбековский район, с. Дылым, ул.Шихмирзы Абуева, д.3;43,068011;46,638315;МКОУ «Дылымский многопрофильный лицей им. И. Гаджиева»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гумбетовский район;Село;Игали;Республика Дагестан, Гумбетовский район, с. Игали, ул. Школьная, 10;42,430200;46,345400;МКОУ «Игалинская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Цияб Ичичали;Республика Дагестан, Хасавюртовский район, с. Цияб Ичичали, ул. Школьная, 35А;43,383695;46,616739;МКОУ «Ичичалинская СОШ им. Б.Г.Битарова»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Цунтинский район;Село;Кидеро;Республика Дагестан, Цунтинский район, с. Кидеро, ул.М.Рамазанова, 17;42,113931;45,571608;МКОУ «Кидеринская СОШ им. Магомедова С.М.»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Кизляр;Город;Кизляр;Республика Дагестан, г. Кизляр, ул. Мичурина, 6;43,848822;46,711056;МКОУ «Кизлярская гимназия № 1 имени М. В. Ломоносова»;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Рутульский район;Село;Киче;Республика Дагестан, Рутульский район, с. Киче, ул. Центральная б/н;41,497710;47,532170;МКОУ «Кичинская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Куруш;Республика Дагестан, Хасавюртовский район, с. Куруш, ул. Бекюрова, 37;43,386608;46,757823;МКОУ «Курушская СОШ № 1 им. А.Б.Айдунова»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Куруш;Республика Дагестан, Хасавюртовский район, с. Куруш, ул. Бекюрова, 38;43,386393;46,759940;МКОУ «Курушская СОШ №2 им. Я.С. Аскандарова»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Ленинаул;Республика Дагестан, Казбековский район, с. Ленинаул, ул.Х.Нурадилова, д.2а;43,093419;46,577886;МКОУ «Ленинаульская СОШ №1 им. Героя Советского Союза Ханпаши Нурадилова;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тарумовский район;Село;имени Мксима Горького;Республика Дагестан, Тарумовский район, с. им. Максима Горького;44,025926;46,643494;МКОУ «М-Горьковская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Кайтагский район;Село;Маджалис;Республика Дагестан, Кайтагский район, с. Маджалис, ул.Алисултанова, д.116;42,118445;47,829146;МКОУ «Маджалисская СОШ № 1»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Ботлихский;Республика Дагестан, Ботлихский район, с. Алак, ул. Малая Раквада, 1, 9;42,636301;46,194289;МКОУ «Нижне-Алакская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Хасавюртовский район;Село;Петраковск;Республика Дагестан, Хасавюртовский район, с. Петраковск;43,252392;46,638176;МКОУ «Петраковская СОШ»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Дахадаевский район;Село;Меусиша;Республика Дагестан, Дахадаевский район, с. Меусиша;42,086111;47,557500;МКОУ «РТС-аульская ООШ»;Спутник;1,000;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Ругун;Республика Дагестан, Курахский район, с. Ругун;41,595892;47,995924;МКОУ «Ругунская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Рутул;Республика Дагестан, Рутульский район, с. Рутул, ул. Центральная, д. 122;41,534553;47,431010;МКОУ «Рутульская СОШ №1 им. И.Г. Гусейнова»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Южно-Сухокумск;Город;Южно-сухокумск;Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3;44,657653;45,659281;МКОУ «СОШ №2»;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Хасавюртовский район;Село;Сулевкент;Республика Дагестан, Хасавюртовский район, с. Сулевкент, ул. Центральная, 38;43,473545;46,753888;МКОУ «Сулевкентская СОШ им.С.А.Абдуллаева»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Тагиркент;Республика Дагестан, Магарамкентский район, с. Тагиркент, ул. Гаджи Дауда, 5;41,788620;48,497630;МКОУ «Тагиркентская ООШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Укуз;Республика Дагестан, Курахский район, с. Укуз;41,695832;47,591624;МКОУ «Укузская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Курахский район;Село;Урсун;Республика Дагестан, Курахский район, с. Урсун, ул Центральная, 5;41,662595;47,690391;МКОУ «Урсунская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Хлют;Республика Дагестан, Рутульский район, с. Хлют, ул. Гусейнова б/н;41,475460;48,017350;МКОУ «Хлютская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Цада;Республика Дагестан, Хунзахский район, с. Цада;42,571559;46,709957;МКОУ «Цадинская ООШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Чахчах-Казмаляр;Республика Дагестан, Магарамкентский район, с. Чахчах-Казмаляр, ул. С.Стальского, 1;41,764684;48,497345;МКОУ «Чахчахказмалярская СОШ им. М.М.Мерзаметова»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Хутор;Шивор;Республика Дагестан, Ботлихский район, х. Шивор, ул Шивортинская, 5А;42,714805;46,256613;МКОУ «Шивортинская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Курахский район;Село;Штул;Республика Дагестан, Курахский район, с. Штул;41,554338;47,918015;МКОУ «Штульская НОШ»;Отсутствует;0;Отсутствует;ВОЛС;50
Хасавюртовский район;Село;Эндирей;Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Школьная, 1;43,199400;46,657000;МКОУ «Эндирейская СОШ № 1»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Эндирей;Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Айдемирова, 58;43,163500;46,651600;МКОУ «Эндирейская СОШ № 2 им. Алиханова А.А.»;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Яраг-Казмаляр;Республика Дагестан, Магарамкентский район, с. Яраг-Казмаляр, ул. Абаса Исрафилова, 34;41,644826;48,388210;МКОУ «Ярагказмалярская СОШ им. М.Ярагского»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Баитли;Республика Дагестан, Хунзахский район, с. Баитли;42,546380;46,676893;МКОУ Баитлинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Махачкалинское ш. № 29.;43,234800;46,580886;МКОУ Гимназия № 3;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Хунзахский район;Село;Гозолоколо;Республика Дагестан, Хунзахский район, с. Гозолоколо;42,569711;46,612239;МКОУ Гозолоколинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Гонох;Республика Дагестан, Хунзахский район, с. Гонох;42,563209;46,690826;МКОУ Гонохская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Гортколо;Республика Дагестан, Хунзахский район, с. Гортколо, ул Центральная, 49;42,576598;46,640826;МКОУ Гортколинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Лакский район;Село;Иниша;Республика Дагестан, Лакский район, с. Иниша;42,150073;47,204231;МКОУ Инишинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Тарумовский район;Село;Кузнецовка;Республика Дагестан, Тарумовский район, с. Кузнецовка;43,901454;46,632989;МКОУ Кузнецовская ООШ;Медь;Нет данных;"ПАО ""Ростелеком""";ВОЛС;50
Лакский район;Село;Мукар;Республика Дагестан, Лакский район, с. Мукар;42,207134;47,022511;МКОУ Мукарская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Накитль;Республика Дагестан, Шамильский район, с. Накитль;42,399935;46,604419;МКОУ Накитлинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Воробьева, 45А;43,242836;46,592364;МКОУ Прогимназия № 10 'Сказка';Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Алиева, 41;43,242614;46,590605;МКОУ Прогимназия № 6 'Ивушка';Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Набережная, 2;43,240004;46,574478;МКОУ Прогимназия № 9 'Ручеёк';Отсутствует;0;Отсутствует;ВОЛС;100
Городской округ город Хасавюрт;Город;хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Висаидова, 2е;43,250467;46,585129;МКОУ СОШ № 19;Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Хунзахский район;Село;Тадколо;Республика Дагестан, Хунзахский район, с. Тадколо;42,657498;46,628889;МКОУ Тадколинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Гергебильский район;Село;Гергебильский;республика Дагестан, Гергебильский район, с. Тунзи;42,468365;46,975948;МКОУ Тунзинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Химако;Республика Дагестан, Хунзахский район, с. Химакоро, ул Химакоринская, 12;42,586467;46,584361;МКОУ Химакоринская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Хини;Республика Дагестан, Хунзахский район, с. Хини;42,527941;46,704585;МКОУ Хининская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Цалкита;Республика Дагестан, Хунзахский район, с. Цалкита, ул Цалкитинская, 30;42,616884;46,572299;МКОУ Цалкитинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Чондотль;Республика Дагестан, Хунзахский район, с. Чондотль, ул Арсена и Амиргамза Сулеймановых, 1;42,547948;46,659025;МКОУ Чондотлинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Лакский район;Село;Чукна;Республика Дагестан, Лакский район, с. Чукна;42,300833;47,119913;МКОУ Чукнинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хунзахский район;Село;Эбута;Республика Дагестан, Хунзахский район, с. Эбута, ул Шамилова, 9;42,592125;46,665314;МКОУ Эбутинская НОШ;Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Асакент;Республика Дагестан, Хивский район, с. Асакент;41,756205;48,008772;МКОУ'Асакентская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Дардаркент;Республика Дагестан, Хивский район, с. Дардаркент;41,740833;48,016743;МКОУ'Дардаркентская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Агульский район;Село;Бедюк;Республика Дагестан, Агульский район, с. Бедюк;41,715948;47,526224;"МКОУ"" Бедюкская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Буркихан;Республика Дагестан, Агульский район, с. Буркихан;41,805000;47,538056;"МКОУ"" Буркиханская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Буршаг;Республика Дагестан, Агульский район, с. Буршаг;41,895922;47,641161;"МКОУ"" Буршагская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Гоа;Республика Дагестан, Агульский район, с. Гоа;41,752751;47,703291;"МКОУ"" Гоинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Дулдуг;Республика Дагестан, Агульский район, с. Дулдуг;41,767490;47,674315;"МКОУ"" Дулдугская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Касумкент;Республика Дагестан, Сулейман-стальский район, с. Касумкент, ул. Аминова, 9;41,298000;48,718000;"МКОУ"" Касумкентская СОШ №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Кураг;Республика Дагестан, Агульский район, с. Кураг.;41,836690;47,660988;"МКОУ"" Курагская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Мисси;Республика Дагестан, Агульский район, с. Мисси;41,809167;47,603889;"МКОУ"" Миссинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Тпиг;Республика Дагестан, Агульский район, с. Тпиг, ул. М.Гусаева, д.28;41,465256;47,356924;"МКОУ"" Тпигская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Худиг;Республика Дагестан, Агульский район, с. Худиг;41,853682;47,656574;"МКОУ"" Худигская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Яркуг;Республика Дагестан, Агульский район, с. Яркуг;41,798520;47,683490;"МКОУ"" Яркугская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Аджидада;Республика Дагестан, Кумторкалинский район, с. Аджидада;43,284804;47,076661;"МКОУ""Аджидадинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Агульский район;Село;Арсуг;Республика Дагестан, Агульский район, с. Арсуг;41,864610;47,650153;"МКОУ""Арсугская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Дахадаевское;Республика Дагестан, Кумторкалинский район, с. Дахадаевское;43,108710;47,440444;"МКОУ""Дахадаевская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Зильдик;Республика Дагестан, Хивский район, с. Зильдик;41,812848;47,990223;"МКОУ""ЗИЛЬДИКСКАЯ ООШ им.А.АЛИЕВА""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Касумкент;Республика Дагестан, Сулейман-стальский район, с. Касумкент, ул. Ленина, 35;41,676047;48,152033;"МКОУ""Касумкентская СОШ№1""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Курах;Республика Дагестан, Курахский район, с. Курах, ул. Лезгинцева,13а;41,350000;47,460000;"МКОУ""Курахская СОШ №2""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Лака;Республика Дагестан, Хивский район, с. Лака;41,756577;47,881116;"МКОУ""ЛАКИНСКАЯ ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Сюгют;Республика Дагестан, Хивский район, с. Сюгют;41,650379;47,117217;"МКОУ""СЮГЮТСКАЯ ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Темиргое;Республика Дагестан, Кумторкалинский район, с. Темиргое;43,126946;47,139495;"МКОУ""Темиргоевская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Тюбе;Республика Дагестан, Кумторкалинский район, с. Тюбе;43,054218;47,286324;"МКОУ""Тюбинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Учкент;Республика Дагестан, Кумторкалинский район, с. Учкент;43,113294;47,082179;"МКОУ""Учкентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Чере;Республика Дагестан, Хивский район, с. Чере;41,806524;48,042914;"МКОУ""ЧЕРИНСКАЯ ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Чиликар;Республика Дагестан, Хивский район, с. Чиликар;41,742396;48,066370;"МКОУ""ЧИЛИКАРСКАЯ ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Шамхалянгиюрт;Республика Дагестан, Кумторкалинский район, с. Шамхалянгиюрт;43,293567;47,226013;"МКОУ""Шамхалянгиюртовская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Юхари-Ярак;Республика Дагестан, Хивский район, с. Юхари-Ярак;41,837081;47,948374;"МКОУ""ЮХАРИ-ЯРАКСКАЯ ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Дахадаевский район;Село;Ицари;Республика Дагестан, Дахадаевский район, с. Ицари;42,086111;47,557500;МКОУ«Иван-кутанская  ООШ»;Спутник;1,000;"ПАО ""Ростелеком""";ВОЛС;50
Каякентский район;Село;Инчхе;Республика Дагестан, Каякентский район, с. Инчхе, 25;42,471255;47,942359;МКУ «Инчхенская НОШ'»;Отсутствует;0;Отсутствует;ВОЛС;50
Цунтинский район;Село;Мокок;Республика Дагестан, Цунтинский район, с. Мокок;42,263502;45,900000;Мококская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Дербентский район;Поселок;Белиджи;Республика Дагестан, Дербентский район, п. Белиджи ул. Школьная 4;41,520000;48,230000;"МОКУ ""СОШ № 1 имени М.Ярагского поселка Белиджи""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Трудовая, 11/Б;42,874668;47,638875;"МОКУ ""СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 10 (VIII ВИДА)""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Акушинский район;Село;Айникабмахи;Республика Дагестан, Акушинский район, с. Айникабмахи;42,267199;47,363067;МОУ 'Айникабмахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Буккамахи;Республика Дагестан, Акушинский район, с. Буккамахи;42,031204;47,418991;МОУ 'Буккамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Гиягирамахи;Республика Дагестан, Акушинский район, с. Гиягирамахи;42,083979;47,378364;МОУ 'Гиягирамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Гумрамахи;Республика Дагестан, Акушинский район, с. Гумрамахи;42,250598;47,349896;МОУ 'Гумрамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Кулиямахи;Республика Дагестан, Акушинский район, с. Кулиямахи;42,076150;47,333385;МОУ 'Кулиямахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Кавкамахи;Республика Дагестан, Акушинский район, с. Кавкамахи;42,322114;47,305984;МОУ 'Н.Кавкамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Наци;Республика Дагестан, Акушинский район, с. Наци;42,075421;47,387146;МОУ 'Нацинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Поселок;Уржагимахи;Республика Дагестан, Акушинский район, п. х-во Уржагимахи;42,061649;47,369982;МОУ 'Уржагимахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Уцулимахи;Республика Дагестан, Акушинский район, с. Уцулимахи;42,064740;47,426437;МОУ 'Уцулимахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Цундимахи;Республика Дагестан, Акушинский район, с. Цундимахи;42,251548;47,316365;МОУ 'Цундимахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Чиънимахи;Республика Дагестан, Акушинский район, с. Чиънимахи;42,276305;47,375329;МОУ 'Чиамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Акушинский район;Село;Акуша;Республика Дагестан, Акушинский район, с. Акуша, ул. Алигаджи Акушинского;42,276305;47,339757;МОУ 'Чурчумамахинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Новопоселок;Республика Дагестан, Сулейман-стальский район, с. Новопоселок;41,674068;48,181528;"МОУ "" Новопосёлковая СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Цмур;Республика Дагестан, Сулейман-стальский район, с. Цмур;41,684496;48,056347;"МОУ "" Цмурская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Им. Шаумяна;Республика Дагестан, Кизлярский район, с. им. Шаумяна;43,874723;46,688592;"МОУ "" Шаумяновская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Азадоглы;Республика Дагестан, Магарамкентский район, с. Азадоглы;41,829188;48,446082;"МОУ ""Азадоглынская СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Аймаумахи;Республика Дагестан, Сергокалинский район, с. Аймаумахи;42,364451;47,573457;"МОУ ""Аймаумахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Аладаш;Республика Дагестан, Курахский район, с. Аладаш;41,907473;48,349916;"МОУ ""Аладашская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Александрия;Республика Дагестан, Кизлярский район, с. Александрия;43,906484;47,130206;"МОУ ""Александрийская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Алихан;Республика Дагестан, Акушинский район, с. Алихан.;42,331210;47,260738;"МОУ ""Алиханмахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Аметерк;Республика Дагестан, Акушинский район, с. Аметерк;42,330802;47,213515;"МОУ ""Аметеркмахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Амуши;Республика Дагестан, Хунзахский район, с. Амуши;42,638357;46,486152;"МОУ ""Амущинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Андых;Республика Дагестан, Шамильский район, с. Андых;42,514761;46,593424;"МОУ ""Андыхская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Арабляр;Республика Дагестан, Курахский район, с. Арабляр;41,931076;48,374278;"МОУ ""Араблярская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Арада-Чугли;Республика Дагестан, Левашинский район с. Арада-Чугли;42,492222;47,228056;"МОУ ""Арада-Чуглинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Арши;Республика Дагестан, Левашинский район с. Арши;42,400476;47,124916;"МОУ ""Аршинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Асаликент;Республика Дагестан, Сулейман-стальский район, с. Асаликент;41,629686;48,166148;"МОУ ""Асаликентская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Ассаб;Республика Дагестан, Шамильский район, с. Ассаб;42,470641;46,493001;"МОУ ""Ассабская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Ашагакартас;Республика Дагестан, Сулейман-стальский район, с. Ашагакартас;41,631562;48,119513;"МОУ ""Ашагакартасская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Ашагасталь;Республика Дагестан, Сулейман-стальский район, с. Ашагасталь;41,753333;48,117003;"МОУ ""Ашагастальская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Ашар;Республика Дагестан, Курахский район, с. Ашар;41,616892;47,666117;"МОУ ""Ашарская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Аялакаб;Республика Дагестан, Левашинский район с. Аялакаб;42,424357;47,464507;"МОУ ""Аялакабская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Аялизимахи;Республика Дагестан, Сергокалинский район, с. Аялизимахи;42,377389;47,609216;"МОУ ""Аялизимахинская СОШ им.Абдуллаева Б.Ю.""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Бабаюрт;Республика Дагестан, Бабаюртовский район, с. Бабаюрт;43,601111;46,779167;"МОУ ""Бабаюртовская СОШ №1""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Балтамахи;Республика Дагестан, Сергокалинский район, с. Балтамахи;42,297521;47,726712;"МОУ ""Балтамахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Балхар;Республика Дагестан, Акушинский район, с. Балхар.;42,277500;47,232033;"МОУ ""Балхарская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Батлух;Республика Дагестан, Шамильский район, с. Батлух;42,486111;46,523889;"МОУ ""Батлухская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
