Наименование;Адрес;Широта;Долгота;
"ГКОУ РД ""НОВОХУШТАДИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""";368904, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ХУШТАДА, УЛИЦА АЭРОФЛОТСКАЯ, ДОМ 47
"ГКОУ РД ""НОВОЦОЛОДИНСКАЯ СОШ АХВАХСКОГО РАЙОНА""";368016, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, ХАМАВЮРТ С, д
"ГКОУ РД ""КГИ ""КУЛЬТУРА МИРА""";368830, ДАГЕСТАН РЕСП, КИЗЛЯР Г, ЦИОЛКОВСКОГО УЛ, 1, А
"ГКОУ РД ""КСОШИ""";368880, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТАРУМОВСКИЙ, СЕЛО КОЧУБЕЙ, ПЕРЕУЛОК ИНТЕРНАТСКИЙ, 3
"ГКОУ РД ""АЙТХАНСКАЯ СОШ БОТЛИХСКОГО РАЙОНА""";368977, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АШАЛИ
"ГКОУ РД ""АРКИДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""";368015, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО КАЗМААУЛ, УЛИЦА МОЛОЧНАЯ, ДОМ 4
"ГКОУ РД ""БАБАЮРТОВСКАЯ СШИ №11""";368060, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БАБАЮРТОВСКИЙ, СЕЛО БАБАЮРТ, УЛИЦА ШПИГУНА, ДОМ 7
"ГКОУ РД ""БСШИ ИМ. М. Г. ГАМЗАТОВА""";368101, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, БАВТУГАЙ ПГТ, ИНТЕРНАТСКАЯ УЛ
"ГКОУ РД ""БСШИ №3""";368222, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД БУЙНАКСК, УЛИЦА ЛЕСНАЯ
"ГКОУ РД ""БСШИ №7""";368222, ДАГЕСТАН РЕСП, БУЙНАКСК Г, В.МАРИЕНКО УЛ, 5
"ГКОУ РД ""ГГИМХО""";368300, ДАГЕСТАН РЕСП, КАСПИЙСК Г, ОРДЖОНИКИДЗЕ УЛ, 6
"ГКОУ РД ""ГО ШИ №2""";368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА ОКТЯБРЬСКАЯ, 9
"ГКОУ РД ""ГОРЬКОВСКАЯ ООШ УНЦУКУЛЬСКОГО РАЙОНА""";368015, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, КАЗМААУЛ С, УЛ
"ГКОУ РД ""ДЖУРМУТСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ
"ГКОУ РД ""КАЗИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА АХВАХСКОГО РАЙОНА""";368990, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, КАРАТА С, БОКОХИНСКАЯ УЛ, ДОМ 35
"ГКОУ РД ""КАЛЬЯЛСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""";368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, КАЛЬЯЛ С, ДОМ ВЕРХНЯЯ 1
"ГКОУ РД ""КАРАТЮБИНСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""";368422, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ХИНДАХ С, ИМАМА ШАМИЛЯ УЛ, ДОМ 60
"ГКОУ РД ""КАРАУЗЕКСКАЯ СОШ""";368410, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУНТИНСКИЙ, СЕЛО КАРАОЗЕК
"ГКОУ РД ""Качалайская СОШ Цунтинского района""";368066, ДАГЕСТАН РЕСП, ЦУНТИНСКИЙ Р-Н, КАЧАЛАЙ С, д
