,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
864, МКОУ Тукитинская СОШ ГКП,9.0,,,
865, МКОУ Хамавюртовская СОШ им.А.М.Аджиева ГКП,72.0,,,
866, МКОУ Чагаротарская СОШ им.А.И.Исмаилова ГКП,54.0,,,
867, МКОУ Шагадинская СОШ ГКП,25.0,,,
868, МКОУ Эндирейская СОШ № 1 ГКП,36.0,,,
869, МКОУ Эндирейская СОШ № 2 ГКП,7.0,,,
870, МКОУ Тотурбийкалинская СОШ гкп ,18.0,,,
871,МБДОУ ДС Восточное с. Восточный г.Хасавюрт,260.0,,,
872,МБДОУ ДС Звездочка с.Новый Костек ,142.0,,,
873,МБДОУ ДС Ивушка с.Аксай,165.0,,,
874,МБДОУ ДС Ласточка с.Эндирей ,184.0,,,
875,МБДОУ ДС Радуга с.Новогагатли,171.0,,,
876,МБДОУ ДС Родничок с.Новосельское,139.0,,Муниципальная,139.0
877,МБДОУ ДС Ромашка с.Костек,130.0,,,
878,МБДОУ ДС Салам с.Новосасетли,120.0,,,
879,МБДОУ ДС Седа с.Солнечное,287.0,,,
880,МБДОУ ДС Сказка с.Бамматюрт,185.0,,,
881,МБДОУ ДС Солнышко г.Хасавюрт,429.0,,,
882,МБДОУ ДС Теремок с.Тотурбийкала ,180.0,,,
883,МБДОУ ДС Улыбка с.Кокрек,297.0,,,
884,МКДОУ Хореджский детсад Дюймовочка на реконстр.,0.0,,,
885,МКДОУ Архитский детский сад Улыбка ,55.0,,,
886,МКДОУ Захитский детсад Ягодка,64.0,,,
887,МКДОУ Кандикский детсад Чебурашка,44.0,,,
888,МКДОУ Ляхлинский детсад Тюльпан,19.0,,,
889,МКДОУ Межгюльский детсад Родничок,28.0,,,
890,МКДОУ Фригский детсад Ласточка,46.0,,,
891,МКДОУ Хивский д.с. №2 Ромашка с.Хив ,98.0,,,
892,МКДОУ Хивский детсад №1 Солнышко,160.0,,,
893,МКДОУ Яракский детсад Радуга,21.0,,,
894,МКДОО Детский сад Огонек с.Ках ,14.0,,,
895,МКДОО Детский сад Колосок с. Мочох ,17.0,,,
896,МКДОУ  Детский сад Колокольчик с.Чондотль  15 мест,10.0,,,
897,МКДОУ Детский сад №1 Аленушка с. Гоцатль,48.0,,Муниципальная,48.0
898,МКДОУ Детский сад №1 Малыш с.Хунзах,113.0,,Муниципальная,113.0
899,МКДОУ Детский сад №2 Ивушка с. Гоцатль,66.0,,Муниципальная,66.0
900,МКДОУ Детский сад №2 ЦРР Солнышко с. Хунзах,97.0,,Муниципальная,97.0
901,МКДОУ Детский сад №3 Ласточка с. Хунзах,60.0,,Муниципальная,60.0
902,МКДОУ Детский сад Березка с.Арани,64.0,,Муниципальная,64.0
903,МКДОУ Детский сад Буратино с. Мущули,17.0,,Муниципальная,17.0
904,МКДОУ Детский сад Елочка с. Тлайлух,27.0,,Муниципальная,27.0
905,МКДОУ Детский сад Жаворонок с. Буцра,28.0,,Муниципальная,28.0
906,МКДОУ Детский сад Журавленок с. Цада,47.0,,Муниципальная,47.0
907,МКДОУ Детский сад Журавушка с. Хариколо,13.0,,Муниципальная,13.0
908,МКДОУ Детский сад Зайчонок с. Заиб,13.0,,Муниципальная,13.0
909,МКДОУ Детский сад Звездочка с. Хиндах,11.0,,Муниципальная,11.0
910,МКДОУ Детский сад Золушка с.Байтль,7.0,,Муниципальная,7.0
911,МКДОУ Детский сад им. Фазу Алиевой с. Гиничутль,12.0,,Муниципальная,12.0
912,МКДОУ Детский сад Имама Шамиля с. Амущи,57.0,,Муниципальная,57.0
913,МКДОУ Детский сад Капелька с. Малый Гоцатль,51.0,,Муниципальная,51.0
914,МКДОУ Детский сад Ласточка с.Батлаич,46.0,,Муниципальная,46.0
915,МКДОУ Детский сад Лягушонок с. Гонох,16.0,,Муниципальная,16.0
916,МКДОУ Детский сад Огонек с. Очло,14.0,,Муниципальная,14.0
917,МКДОУ Детский сад Олененок с. Харахи,56.0,,Муниципальная,56.0
918,МКДОУ Детский сад Орленок с. Уздалросо,52.0,,Муниципальная,52.0
919,МКДОУ Детский сад Павлин с.Гоцалух,32.0,,Муниципальная,32.0
920,МКДОУ Детский сад Радость с.Хини,7.0,,Муниципальная,7.0
921,МКДОУ Детский сад Родничок с. Новобуцра,40.0,,Муниципальная,40.0
922,МКДОУ Детский сад Ромашка с. Обода,113.0,,Муниципальная,113.0
923,МКДОУ Детский сад Росинка с. Тануси,55.0,,Муниципальная,55.0
924,МКДОУ Детский сад Ручеек с. Гортколо,7.0,,Муниципальная,7.0
925,МКДОУ Детский сад Сказка с. Цельмес,16.0,,Муниципальная,16.0
926,МКДОУ Детский сад Соколенок с. Сиух,6.0,,Муниципальная,6.0
927,МКДОУ Детский сад Теремок с.Ахалчи,51.0,,Муниципальная,51.0
928,МКДОУ Детский сад Улыбка с. Шотода,16.0,,Муниципальная,16.0
929,МКДОУ Детский сад Фиалка с. Орота,37.0,,Муниципальная,37.0
930,МКДОУ Детский сад Чебурашка с. Тагада,46.0,,Муниципальная,46.0
931,МКДОУ Школа  сад Орешек НОШ с. Коло,31.0,,,
932, МКОУ Агвалинская СОШ ГКП,44.0,,,
933, МКОУ ГигатлиУрухская ООШ  ГКП,10.0,,,
934, МКОУ Саситлинская СОШ ГКП ,8.0,,,
935,МБДОУ Агвалинский детский сад № 2,158.0,,,
936,МБДОУ Агвалинский детский сад №1,95.0,,,
937,МБДОУ Гигатлинский сад,45.0,,,
938,МКДОУ Агвалинский детский сад № 2,158.0,,Муниципальная,158.0
939,МКДОУ Агвалинский детский сад №1,95.0,,Муниципальная,95.0
940,МКДОУ Гигатлинский сад,45.0,,Муниципальная,45.0
941,МКДОУ Кванадинский детский сад,38.0,,Муниципальная,38.0
942,МКДОУ Кочалинский детский сад,32.0,,Муниципальная,32.0
943,МКДОУ Тиндинский детский сад,45.0,,Муниципальная,45.0
944,МКОУ Верхнегакваринская школасад,35.0,,,
945,МКОУ Гадиринская ООШсад,13.0,,,
946,МКОУ Кединская  СОШсад  ,31.0,,,
947,МКОУ Метрадинская СОШсад ,30.0,,,
948,МКОУ Нижнегакваринская школасад,31.0,,,
949,МКОУ Нижнеинхокваринская СОШсад  ,30.0,,,
950,МКОУ ТиссиАхитлинская СОШдетский сад,30.0,,,
951,МКОУ Хонохская СОШсад ,30.0,,,
952,МКОУ Хуштадинская школасад,30.0,,,
953,МКОУ Эчединская школасад,31.0,,,
954,МКОУ Хибиятлинская СОШ гкп с.Хибиятли деят.приост.,10.0,,,
955, МКОУ Асахская СОШ гкп с.Удок,9.0,,,
956, МКОУ Гутатлинская СОШ гкп с.Гутатли,12.0,,,
957, МКОУ Зехидинская ООШ гкп,11.0,,,
958, МКОУ Сагадинская СОШ гкп,6.0,,,
959, МКОУ Хупринская  СОШ гкп,5.0,,,
960, МКОУ Цебаринская СОШ гкп,6.0,,,
961, МКОУ Балакуринская СОШ Бежтинский участок ГКП,33.0,,,
962, МКОУ Бежтинская СОШ Бежтинский участок гкп,41.0,,,
963, МКОУ Гарбутлинская СОШ Бежтинский участок ГКП,7.0,,,
964, МКОУ Гунзибская ООШ Бежтинский участок ГКП,3.0,,,
965, МКОУ Нахадинская СОШ Бежтинский участок ГКП,16.0,,,
966, МКОУ Тлядльская СОШ Бежтинский участок ГКП,10.0,,,
967,ДС №1 Березка при МКОУ Генухская СОШ,16.0,,,
968,ДС №13 Патриотка при МКОУ Хутрахская СОШ,16.0,,,
969,ДС №14 Волна при МКОУ Междуреченская СОШ с. Китлярата,16.0,,,
970,ДС №15 Перевал при МКОУ Хуприская СОШ,16.0,,,
971,ДС №16 Роза при МКОУ Шапихская СОШ,16.0,,,
972,ДС №18 Звездочка при МКОУ Китуринская СОШ,16.0,,,
973,ДС №2 Солнышко при МКОУ Кидеринская СОШ,32.0,,,
974,ДС №5 Сосна при МКОУ Шаитлинская СОШ,16.0,,,
975,ДС №7 Олень при МКОУ Шауринская СОШ,16.0,,,
976,ДС №8 Ветер при МКОУ Хебатлинская СОШ,16.0,,,
977,ДС №9 Южанка при МКОУ Мококская СОШ,16.0,,,
978,ДС Улыбка при МКОУ Хашархотинская СОШ Бежтинский участок,19.0,,,
979,МКДОУ Бежтинский детский яслисад №1,90.0,,,
980,МКДОУ Детский сад №2 Надежда с. Бежта ,110.0,,,
981,МКДОУ ДС №4 Ласточка с.Цунта,32.0,,,
982,МКОУ Махалатлинаская СОШ ДС №12 Высота с.Махалатли,21.0,,,
983,МКОУ Ретлобская СОШ ДС №11 Заря с.Ретлоб,34.0,,,
984,МКОУ Гилибская СОШ  Детский сад с.Гилиб,76.0,,,
985,МКОУ Гочобская СОШ Детский сад с.Гочоб,24.0,,,
986,МКОУ Ирибская СОШ  Детский сад. с.Ириб,30.0,,,
987,МКОУ Магарская СОШ Детский сад с.Магар,20.0,,,
988,МКОУ Тлярошская СОШ Детский сад с.Тлярош,38.0,,,
989,МКОУ Цулдинская ООШ Детский сад с.Цулда,25.0,,,
990,МКОУ Цурибская СОШ Детский сад Радуга с.Цуриб,228.0,,,
991,МКДОУ Андыхский детский сад,31.0,,Муниципальная,31.0
992,МКДОУ Ассабский детский сад,26.0,,Муниципальная,26.0
993,МКДОУ Батлухский детский сад,50.0,,Муниципальная,50.0
994,МКДОУ Верхнебатлухский детский сад,25.0,,Муниципальная,25.0
995,МКДОУ Гентинский детский сад,18.0,,Муниципальная,18.0
996,МКДОУ Голотлинский детский сад,43.0,,Муниципальная,43.0
997,МКДОУ Гоорский детский сад,28.0,,Муниципальная,28.0
998,МКДОУ Кахибский детский сад,34.0,,Муниципальная,34.0
999,МКДОУ Могохский детский сад,20.0,,Муниципальная,20.0
1000,МКДОУ Ругельдинский детский сад,16.0,,Муниципальная,16.0
1001,МКДОУ Сомодинский детский сад,14.0,,Муниципальная,14.0
1002,МКДОУ Телетлинский детский сад,41.0,,Муниципальная,41.0
1003,МКДОУ Тидибский детский сад,42.0,,Муниципальная,42.0
1004,МКДОУ Тляхский детский сад,30.0,,Муниципальная,30.0
1005,МКДОУ Урадинский детский сад,29.0,,Муниципальная,29.0
1006,МКДОУ Урибский детский сад,18.0,,Муниципальная,18.0
1007,МКДОУ Хебдинский детский сад,145.0,,Муниципальная,145.0
1008,МКДОУ Хотодинская СОШ,25.0,,Муниципальная,25.0
1009,МКДОУ Хучадинский детский сад,17.0,,Муниципальная,17.0
1010,МКОУ Мачадинская СОШ им. Унжолова Б.М.,20.0,,,
1011,МКДОУ 'Большеарешевский детский сад',,,Муниципальная,52.0
1012,МКДОУ 'Пролетарский детский сад',,,Муниципальная,56.0
1013,МКДОУ 'Цветковский детский сад',,,Муниципальная,104.0
1014,МКДОУ 'Октябрьский детский сад',,,Муниципальная,48.0
1015,МКДОУ 'Яснополянский детский сад',,,Муниципальная,40.0
1016,МКДОУ 'Юбилейный детский сад',,,Муниципальная,89.0
1017,МКДОУ 'Черняевский детский сад',,,Муниципальная,69.0
1018,МКДОУ 'Новокохановский детский сад',,,Муниципальная,42.0
1019,МКДОУ 'Малоарешевский детский сад',,,Муниципальная,60.0
1020,МКДОУ 'Крайновский детский сад',,,Муниципальная,45.0
1021,МКДОУ 'Косякинский детский сад',,,Муниципальная,53.0
1022,МКДОУ 'Коллективизаторский детский сад',,,Муниципальная,19.0
1023,МКДОУ 'Кардоновский детский сад',,,Муниципальная,80.0
1024,"МКДОУ 'Журавлик', с. им. Жданова_",,,Муниципальная,109.0
1025,МКДОУ 'Большезадоевский детский сад',,,Муниципальная,40.0
1026,МКДОУ 'Александрийский детский сад',,,Муниципальная,100.0
1027,МКДОУ 'Аверьяновский детский сад',,,Муниципальная,101.0
1028,МКДОУ 'Победовский детский сад',,,Муниципальная,59.0
1029,"МКДОУ ДС №4 'Светлячок', с. Янгикент",,,Муниципальная,22.0
1030,"МКДОУ ДС №5 'Ромашка', с.Маджалис_+",,,Муниципальная,132.0
1031,"МКДОУ ДС №3 'Ручеек', с.Маджалис",,,Муниципальная,146.0
1032,"МКДОУ ДС №2 'Родничок', с.Маджалис",,,Муниципальная,148.0
1033,!_МКОУ 'Сурхачинская СОШ' (ГКП) деят. приост.,,,Муниципальная,0.0
1034,"МКДОУ ДС №1  'Улыбка', с. Маджалис",,,Муниципальная,119.0
1035,МКОУ 'Мачадинская СОШ им. Унжолова Б.М.',,,Муниципальная,20.0
1036,МКДОУ 'Кочубейский д/с'Солнышко',,,Муниципальная,75.0
1037,МКДОУ 'Карабаглинский д/с' Радуга',,,Муниципальная,20.0
1038,!МКДОУ 'Ново-Романовский д/с 'Колокольчик'_на кап. рем.,,,Муниципальная,0.0
1039,МКОУ 'Коктюбейская ООШ' (д/с' Золотая рыбка'),,,Муниципальная,16.0
1040,МКДОУ 'Таловский д/с'Ивушка',,,Муниципальная,23.0
1041,МКДОУ 'Рассветовский д/с 'Гнездышко',,,Муниципальная,24.0
1042,МКДОУ 'Раздольевский д/с' Аленушка',,,Муниципальная,23.0
1043,МКДОУ 'Ново-Дмитриевский д/с 'Солнышко',,,Муниципальная,40.0
1044,МКДОУ 'Кочубейский д/с 'Чебурашка',,,Муниципальная,75.0
1045,МКДОУ 'Калиновский д/с 'Теремок',,,Муниципальная,21.0
1046,МКДОУ 'Александро-Невский д/с 'Колокольчик',,,Муниципальная,45.0
1047,МКДОУ 'Тарумовский д/с 'Тополек',,,Муниципальная,203.0
1048,МКДОУ 'Ново-Георгиевский д/с' Аленка',,,Муниципальная,26.0
1049,"МКОУ Прогимназия 'Орленок', с.Бабаюрт",,,Муниципальная,188.0
1050,"МКДОУ ясли- сад Солнышко, с.Бабаюрт",,,Муниципальная,180.0
1051,"МКДОУ дет-ясли 'Ёлочка', с.Бабаюрт",,,Муниципальная,73.0
1052,"МКДОУ детский сад 'Ласточка', с. Татаюрт",,,Муниципальная,100.0
1053,"МКДОУ детский сад 'Соколенок', с.Геметюбе",,,Муниципальная,58.0
1054,"МКДОУ детский сад 'Буратино', с.Уцмиюрт(120 м)_",,,Муниципальная,120.0
1055,"МКДОУ детский сад Радуга, с.Хасанай",,,Муниципальная,72.0
1056,"МКДОУ детский сад  'Дружба', с.Бабаюрт",,,Муниципальная,104.0
1057,"МКДОУ детский сад 'Сказка', с.Хамаматюрт",,,Муниципальная,100.0
1058,"_МКОУ 'Гунзибская ООШ', Бежтинский участок (ГКП)",,,Муниципальная,3.0
1059,"_МКОУ 'Гарбутлинская СОШ', Бежтинский участок (ГКП)",,,Муниципальная,7.0
1060,"_МКОУ 'Нахадинская СОШ', Бежтинский участок (ГКП)",,,Муниципальная,16.0
1061,ДС №7 'Олень' при МКОУ Шауринская СОШ,,,Муниципальная,16.0
1062,ДС №18 'Звездочка' при МКОУ Китуринская СОШ,,,Муниципальная,16.0
1063,ДС №16 'Роза' при МКОУ Шапихская СОШ,,,Муниципальная,16.0
1064,_МКОУ «Сагадинская СОШ» (гкп),,,Муниципальная,6.0
1065,ДС №8 'Ветер' при МКОУ Хебатлинская СОШ,,,Муниципальная,16.0
1066,_МКОУ «Хупринская  СОШ» (гкп),,,Муниципальная,5.0
1067,_МКОУ «Зехидинская ООШ» (гкп),,,Муниципальная,11.0
1068,"МКОУ Ретлобская СОШ (ДС №11 'Заря'), с.Ретлоб",,,Муниципальная,34.0
1069,"_МКОУ 'Балакуринская СОШ', Бежтинский участок (ГКП)",,,Муниципальная,33.0
1070,"_МКОУ «Асахская СОШ» (гкп), с.Удок",,,Муниципальная,9.0
1071,_МКОУ «Цебаринская СОШ» (гкп),,,Муниципальная,6.0
1072,ДС №15 'Перевал' при МКОУ Хуприская СОШ,,,Муниципальная,16.0
1073,"ДС 'Улыбка' при МКОУ 'Хашархотинская СОШ', Бежтинский участок",,,Муниципальная,19.0
1074,"_МКОУ «Гутатлинская СОШ» (гкп), с.Гутатли",,,Муниципальная,12.0
1075,"МКДОУ ДС №4 'Ласточка', с.Цунта",,,Муниципальная,32.0
1076,"_МКОУ 'Тлядльская СОШ', Бежтинский участок (ГКП)",,,Муниципальная,10.0
1077,МКДОУ Бежтинский детский ясли-сад №1,,,Муниципальная,90.0
1078,ДС №2 'Солнышко' при МКОУ Кидеринская СОШ,,,Муниципальная,32.0
1079,"ДС №14 'Волна' при МКОУ 'Междуреченская СОШ', с. Китлярата",,,Муниципальная,16.0
1080,"МКОУ Махалатлинаская СОШ (ДС №12 'Высота'), с.Махалатли",,,Муниципальная,21.0
1081,"МКДОУ 'Детский сад №2 'Надежда', с. Бежта_",,,Муниципальная,110.0
1082,ДС №13 'Патриотка' при МКОУ Хутрахская СОШ,,,Муниципальная,16.0
1083,ДС №1 Березка при МКОУ 'Генухская СОШ',,,Муниципальная,16.0
1084,"_МКОУ Бежтинская СОШ, Бежтинский участок (гкп)",,,Муниципальная,41.0
1085,ДС №9 'Южанка' при МКОУ Мококская СОШ,,,Муниципальная,16.0
1086,ДС №5 'Сосна' при МКОУ Шаитлинская СОШ,,,Муниципальная,16.0
1087,"!_МКОУ «Хибиятлинская СОШ» (гкп), с.Хибиятли_деят.приост.",,,Муниципальная,10.0
1088,МКДОУ Д/с №7 Красная шапочка,,,Муниципальная,70.0
1089,МКДОУ Д/с №2 Ласточка,,,Муниципальная,160.0
1090,МКДОУ ЦРР д/с №8 Радуга,,,Муниципальная,200.0
1091,!_МКОУ 'СОШ №9' (гкп)_деят.приост.,,,Муниципальная,18.0
1092,МКДОУ-ЦРР д/с №4 Светлячок,,,Муниципальная,351.0
1093,!_МКОУ 'СОШ №4' (гкп)_деят.приост.,,,Муниципальная,12.0
1094,МКДОУ д/с №5 Теремок,,,Муниципальная,277.0
1095,!_МКОУ 'СОШ №8' (гкп)_деят.приост.,,,Муниципальная,30.0
1096,МКДОУ ЦРР д/с №3 «Дюймовочка»,,,Муниципальная,111.0
1097,МКДОУ ЦРР д/с №6 Чебурашка,,,Муниципальная,405.0
1098,МКДОУ д/с №9 Колосок,,,Муниципальная,123.0
1099,МКДОУ Д/с №1 Солнышко,,,Муниципальная,163.0
1100,МКДОУ ДС №11 'Колокольчик'_,,,Муниципальная,204.0
1101,МКДОУ д/с №10 №Энергетик,,,Муниципальная,125.0
1102,!_МКОУ 'СОШ №7' (гкп)_деят.приост.,,,Муниципальная,36.0
1103,!_МКОУ 'СОШ №3' (гкп)_деят. приостан.,,,Муниципальная,0.0
1104,!_МКОУ 'Гимназия №5' (гкп)_деят.приост.,,,Муниципальная,25.0
1105,!_МКОУ 'Гимназия №1' (гкп)_деят.приост.,,,Муниципальная,37.0
1106,!_МКОУ 'СОШ №2' (гкп)_деят.приост.,,,Муниципальная,15.0
1107,МБДОУ Тадмагитлинский детский сад 'Орленок',,,Муниципальная,100.0
1108,МБДОУ Изанинский детский сад 'Орленок',,,Муниципальная,32.0
1109,МБДОУ Тукитинский детский сад 'Радуга',,,Муниципальная,44.0
1110,МБДОУ Ингердахский детский сад 'Радость',,,Муниципальная,48.0
1111,МБДОУ Тлибишинский детский сад 'Соколенок',,,Муниципальная,54.0
1112,МБДОУ Каратинский детский сад 'Улыбка',,,Муниципальная,63.0
1113,МБДОУ Цолодинский детский сад 'Улыбка',,,Муниципальная,39.0
1114,МБДОУ Лологонитлинский детский сад 'Тархо',,,Муниципальная,40.0
1115,МБДОУ Кудияб-росинский детский сад 'Ласточка',,,Муниципальная,60.0
1116,МБДОУ Каратинский детский сад 'Солнышко',,,Муниципальная,136.0
1117,~д/с при МКОУ 'Аргванинская СОШ' (дошк. гр.),,,Муниципальная,4.0
1118,~МКОУ 'Кунзахская ООШ' (дошк. гр.),,,Муниципальная,17.0
1119,"МКДОУ 'Детский сад 'Ромашка', с.Игали",,,Муниципальная,112.0
1120,~МКОУ 'Ингишинская СОШ'  (дошк. гр.),,,Муниципальная,17.0
1121,"МКДОУ 'Детский сад 'Чебурашка', с. Килятль",,,Муниципальная,49.0
1122,"МКДОУ 'Детский сад 'Улыбка', с.Н.Инхо",,,Муниципальная,41.0
1123,"МКДОУ 'Детский сад 'Солнышко', с.Мехельта",,,Муниципальная,140.0
1124,"МКДОУ 'Детский сад 'Радуга', с.Чирката",,,Муниципальная,95.0
1125,"МКДОУ 'Детский сад 'Ласточка', с.Тлярата",,,Муниципальная,28.0
1126,"МКДОУ 'Детский сад 'Колобок', с.Ново-Аргвани",,,Муниципальная,69.0
1127,~МКОУ 'Цанатлинская ООШ' (дошк. гр.),,,Муниципальная,8.0
1128,~МКОУ 'Тантаринская НОШ' (дошк. гр.),,,Муниципальная,15.0
1129,~МКОУ 'В-Арадерихская НОШ' (дошк. гр.),,,Муниципальная,6.0
1130,~МКОУ 'Арадирихская СОШ' (дошк. гр.),,,Муниципальная,15.0
1131,!~МКОУ 'Данухская СОШ' (дошк. гр.)_деят. приост,,,Муниципальная,0.0
1132,"МКДОУ 'Детский сад 'Соколенок', с.Цилитль",,,Муниципальная,19.0
1133,~МКОУ 'Верхнеинховская СОШ' (дошк. гр.),,,Муниципальная,20.0
1134,МКДОУ Хвереджская СОШ - детский сад 'Сказка',,,Муниципальная,9.0
1135,_МКОУ Аладашская СОШ (ГКП)_,,,Муниципальная,9.0
1136,_МКОУ Икринская СОШ  (ГКП)_,,,Муниципальная,10.0
1137,_МКОУ 'Хпюкская СОШ' (гкп),,,Муниципальная,15.0
1138,МКДОУ Шимихюрская СОШ- детский сад 'Орленок',,,Муниципальная,30.0
1139,МКДОУ Кучхюрская СОШ - детский сад 'Заря',,,Муниципальная,23.0
1140,МКДОУ 'Курахская СОШ №1-детский сад 'Гияр' (№3),,,Муниципальная,35.0
1141,МКДОУ Кумукская СОШ- детский сад 'Кард',,,Муниципальная,27.0
1142,МКДОУ Гельхенская СОШ - детский сад 'Родничок',,,Муниципальная,15.0
1143,МКДОУ Ашарская СОШ - детский сад Радуга,,,Муниципальная,14.0
1144,_МКОУ 'Моллакентская СОШ' (ГКП),,,Муниципальная,10.0
1145,!_МКОУ 'Курахская СОШ №2' (ГКП)- деят. приост,,,Муниципальная,0.0
1146,_МКОУ 'Гельхенская школа-детсад' (гкп)_,,,Муниципальная,10.0
1147,_МКОУ 'Усугская СОШ' (ГКП),,,Муниципальная,7.0
1148,"МКДОУ ДС ' Золотой луг', с.Леваши_",,,Муниципальная,90.0
1149,"МКДОУ ДС 'Звездочка', с.Урма-",,,Муниципальная,80.0
1150,"МКОУ 'Аялакабская СОШ-сад', с. Аялакаб",,,Муниципальная,17.0
1151,МКДОУ ДС 'Ласточка с.Мекеги_ + (120 м.)_,,,Муниципальная,121.0
1152,"МКДОУ ДС  'Журавлик', с. Карлабко",,,Муниципальная,45.0
1153,"МКДОУ ДС 'Непоседа', с. Джангамахи (40 м.)_",,,Муниципальная,39.0
1154,"МКДОУ ДС  'Ручеек', с.Хахита_",,,Муниципальная,55.0
1155,"МКДОУ ДС 'Райские птички', с. Хахита_",,,Муниципальная,74.0
1156,"МКДОУ ДС №4 'Снежинка', с.Леваши_",,,Муниципальная,64.0
1157,"МКДОУ ДС 'Чебурашка, с.Карекадани (40 м.)_",,,Муниципальная,35.0
1158,"МКДОУ ДС 'Улыбка', с. Хаджалмахи_",,,Муниципальная,157.0
1159,"МКДОУ ДС 'Теремок', с.Кутиша",,,Муниципальная,65.0
1160,"МКДОУ ДС 'Соколенок', с.Кулецма",,,Муниципальная,80.0
1161,"МКДОУ ДС 'Ромашка', с.Какамахи",,,Муниципальная,60.0
1162,"МКДОУ ДС 'Родничок, с.Куппа (40 м.)_",,,Муниципальная,40.0
1163,"МКДОУ ДС  'Ласточка', с.Н.Чугли (60 м.) _",,,Муниципальная,40.0
1164,"МКДОУ ДС 'Дубурлан', с.В.Лабкомахи (40 м.)_",,,Муниципальная,42.0
1165,"МКДОУ ДС 'Березка', с.Арада-Чугли",,,Муниципальная,69.0
1166,"МКДОУ ДС №3 'Сказка', с.Леваши_",,,Муниципальная,55.0
1167,"МКДОУ ДС №1 'Солнышко', с.Леваши",,,Муниципальная,265.0
1168,"МКДОУ ДС 'Орленок', с. Урма",,,Муниципальная,80.0
1169,"МКДОУ ДС 'Радость', с.Урма_",,,Муниципальная,77.0
1170,"МКДОУ ДС №2 'Радуга',  с.Леваши",,,Муниципальная,162.0
1171,"МКДОУ 'Детский сад 'Львенок', с.Кутиша",,,Муниципальная,79.0
1172,"МКДОУ ДС «Шолпан», с.Нариман",,,Муниципальная,76.0
1173,"МКДОУ ДС «Алтынай», с.Кумли_",,,Муниципальная,39.0
1174,"МКДОУ ДС «Карлыгашлар», с.Кунбатар",,,Муниципальная,81.0
1175,МКДОУ ДС «Лашын» с.Батыр-Мурза,,,Муниципальная,18.0
1176,"МКДОУ ДС «Юлдыз», с.Терекли-Мектеб",,,Муниципальная,250.0
1177,"МКДОУ ДС «Юлдуз»,  с. Ортатюбе",,,Муниципальная,42.0
1178,"МКДОУ ДС «Ногай Эл», с.Терекли-Мектеб_",,,Муниципальная,398.0
1179,"МКДОУ ДС «Кызыл Гуьль», с. Червленные Буруны",,,Муниципальная,73.0
1180,"МКДОУ ДС «Куьпелек», с.Боранчи",,,Муниципальная,24.0
1181,"МКДОУ ДС «Алтын Кус», с.Карагас",,,Муниципальная,78.0
1182,"МКДОУ ДС «Айсылув», с.Терекли-Мектеб",,,Муниципальная,98.0
1183,"МКДОО 'Детский сад 'Колосок', с. Мочох_",,,Муниципальная,17.0
1184,"МКДОО «Детский сад «Огонек», с.Ках_",,,Муниципальная,14.0
1185,"МКДОУ  Детский сад Колокольчик, с.Чондотль_ (15 мест)",,,Муниципальная,10.0
1186,МКДОУ Школа - сад Орешек (НОШ) с. Коло,,,Муниципальная,31.0
1187,МКДОУ 'Архитский детский сад 'Улыбка'_,,,Муниципальная,55.0
1188,МКДОУ 'Межгюльский детсад 'Родничок',,,Муниципальная,28.0
1189,МКДОУ 'Ляхлинский детсад 'Тюльпан',,,Муниципальная,19.0
1190,МКДОУ 'Кандикский детсад 'Чебурашка',,,Муниципальная,44.0
1191,МКДОУ 'Захитский детсад 'Ягодка',,,Муниципальная,64.0
1192,МКДОУ 'Хивский детсад №1 'Солнышко',,,Муниципальная,160.0
1193,МКДОУ 'Фригский детсад 'Ласточка',,,Муниципальная,46.0
1194,МКДОУ 'Яракский детсад 'Радуга',,,Муниципальная,21.0
1195,"МКДОУ 'Хивский д.с. №2 'Ромашка', с.Хив_",,,Муниципальная,98.0
1196,!МКДОУ 'Хореджский детсад 'Дюймовочка' (на реконстр.),,,Муниципальная,0.0
1197,"МКДОУ Детский сад №18, с.Хоточ",,,Муниципальная,61.0
1198,"МКДОУ Детский сад №19, с. Чох",,,Муниципальная,22.0
1199,"МКДОУ Детский сад №15, с.Согратль",,,Муниципальная,37.0
1200,"МКДОУ Детский сад №21, с. Шулани",,,Муниципальная,21.0
1201,"МКДОУ Детский сад № 3, с.Гуниб",,,Муниципальная,92.0
1202,"МКДОУ Детский сад №17, с. Хиндах",,,Муниципальная,67.0
1203,"МКДОУ  Детский сад № 2, с. Бухты",,,Муниципальная,23.0
1204,"МКДОУ Детский сад №7, с. Кудали",,,Муниципальная,22.0
1205,"МКДОУ Детский сад №9, с.Нижний Кегер",,,Муниципальная,15.0
1206,"МКДОУ Детский сад №1, с.Бацада",,,Муниципальная,46.0
1207,"МКДОУ Детский сад №12, с. Ругуджа",,,Муниципальная,20.0
1208,"МКДОУ Детский сад №8, с.Нижний Гуниб",,,Муниципальная,35.0
1209,МКДОУ Детский сад №20' с.Чох-Коммуна,,,Муниципальная,33.0
1210,"МКДОУ Детский сад №10, с.Мегеб",,,Муниципальная,35.0
1211,"МКДОУ детский сад №16, с. Унты",,,Муниципальная,15.0
1212,"МКДОУ Детский сад №4, с. Гонода",,,Муниципальная,30.0
1213,"МКДОУ Детский сад №5, с. Кегер",,,Муниципальная,18.0
