Наименование;Юридическое наименование;ИНН;Телефон;Юридический адрес
"ГКОУ РД ""ХАСАВЮРТОВСКАЯ ШКОЛА-ИНТЕРНАТ № 9""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РД ""ХАСАВЮРТОВСКАЯ ШКОЛА-ИНТЕРНАТ № 9""";0544020210;8 (87231) 5-13-30;368001, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, ПЕРЕУЛОК ШКОЛЬНЫЙ, 2
"ГКОУ РД ""КГИ ""КУЛЬТУРА МИРА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИЗЛЯРСКАЯ ГИМНАЗИЯ-ИНТЕРНАТ ""КУЛЬТУРА МИРА""";0547001417;8 (87239) 2-36-87;368830, ДАГЕСТАН РЕСП, КИЗЛЯР Г, ЦИОЛКОВСКОГО УЛ, 1, А
"ГКОУ РД ""БСШИ ИМ. М. Г. ГАМЗАТОВА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""БАВТУГАЙСКАЯ  СПЕЦИАЛИЗИРОВАННАЯ ШКОЛА - ИНТЕРНАТ ИМ. М. Г. ГАМЗАТОВА""";0546011349;8 (888) 888-88-88;368101, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, БАВТУГАЙ ПГТ, ИНТЕРНАТСКАЯ УЛ
"ГКОУ РД ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С.ЧЕРНЯЕВКА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С.ЧЕРНЯЕВКА""";0517000617;5-51-84;368812, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗЛЯРСКИЙ, СЕЛО ЧЕРНЯЕВКА
"ГКОУ РД""КИКУНИКУТАНСКАЯ ООШ ГЕРГЕБИЛЬСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИКУНИКУТАНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГЕРГЕБИЛЬСКОГО РАЙОНА""";0508008641;8 (928) 525-71-45;368241, ДАГЕСТАН РЕСП, ГЕРГЕБИЛЬСКИЙ Р-Н, КИКУНИ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 7
"ГКОУ РД ""ДЖУГУТСКАЯ ООШ БОТЛИХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДЖУГУТСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""";0546019683;8 (928) 585-73-04;368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72
"ГКОУ РД ""СВЕРДЛОВСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СВЕРДЛОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0505008570;8 (928) 978-94-92;368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КУТЛАБ С, ШАМИЛЯ МАГОМЕДОВА УЛ, ДОМ 185
"ГКОУ РД ""СОШ БОТЛИХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""";0505008562;8 (928) 063-36-64;368974, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АЛАК
"ГКОУ РД ""АЙТХАНСКАЯ СОШ БОТЛИХСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АЙТХАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""";0505008178;8 (928) 565-19-94;368977, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АШАЛИ
"ГКОУ РД ""КУБИНСКАЯ СОШ ЛАКСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КУБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЛАКСКОГО РАЙОНА""";0505008202;8 (928) 839-75-42;368362, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, ТУРЗАН С, д
"ГКОУ РД ""ЩЕДРИНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ЩЕДРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140915;8 (928) 678-99-21;368427, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ШИДИБ, УЛИЦА ШИДИБСКАЯ, ДОМ 10
"ГКОУ РД ""НОВОЦАТАНИХСКАЯ СОШ УНЦУКУЛЬСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОЦАТАНИХСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА УНЦУКУЛЬСКОГО РАЙОНА""";0505008019;8 (928) 805-42-32;368946, ДАГЕСТАН РЕСП, УНЦУКУЛЬСКИЙ , С ЦАТАНИХ, Д
"ГКОУ РД ""ИБРАГИМОТАРСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ИБРАГИМОТАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""";0532140714;8 (928) 567-80-83;368423, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, ГИНДИБ С, ШЕЙХА ШАХБАНА УЛ, ДОМ 1
"ГКОУ РД ""ТУРШУНАЙСКАЯ ООШ КАЗБЕКОВСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ТУРШУНАЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА КАЗБЕКОВСКОГО РАЙОНА""";0505007784;;368085, ДАГЕСТАН РЕСП, КАЗБЕКОВСКИЙ Р-Н, АРТЛУХ С, Д
"ГКОУ РД ""НОВОБУХТЫНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""НОВОБУХТЫНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""";0510008889;8 (928) 800-05-27;368355, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, БУХТЫ С, 0
"ГКОУ РД ""ГГИМХО""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ГОСУДАРСТВЕННАЯ ГИМНАЗИЯ-ИНТЕРНАТ МУЗЫКАЛЬНО-ХОРЕОГРАФИЧЕСКОГО ОБРАЗОВАНИЯ Г.КАСПИЙСК""";0545011138;8 (87246) 6-72-91;368300, ДАГЕСТАН РЕСП, КАСПИЙСК Г, ОРДЖОНИКИДЗЕ УЛ, 6
