Наименование ДОО;Январь;Итог
МКДОУ ДС 'Радуга', с. Хвартикуни;26;
МКДОУ ДС 'Ромашка', с.Кикуни;145;
МКДОУ ДС 'Солнышко', с.Гергебиль ;320;
МКДОУ ДС 'Теремок', с. Маали;45;
МКДОУ ДС 'Улыбка', с.Кикуни;141;
МКДОУ ДС 'Чебурашка', с.Аймаки;50;
МКДОУ Ясли-сад 'Пикачо', с.Мурада;15;
~МКОУ 'Данухская СОШ' (дошк. гр.) деят. приост;0;
~д/с при МКОУ 'Аргванинская СОШ' (дошк. гр.);4;
~МКОУ 'Арадирихская СОШ' (дошк. гр.);15;
~МКОУ 'В-Арадерихская НОШ' (дошк. гр.);6;
~МКОУ 'Верхнеинховская СОШ' (дошк. гр.);20;
~МКОУ 'Ингишинская СОШ'  (дошк. гр.);17;
~МКОУ 'Кунзахская ООШ' (дошк. гр.);17;
~МКОУ 'Тантаринская НОШ' (дошк. гр.);15;
~МКОУ 'Цанатлинская ООШ' (дошк. гр.);8;
МКДОУ 'Детский сад 'Колобок', с.Ново-Аргвани;69;
МКДОУ 'Детский сад 'Ласточка', с.Тлярата;28;
МКДОУ 'Детский сад 'Радуга', с.Чирката;95;
МКДОУ 'Детский сад 'Ромашка', с.Игали;112;
МКДОУ 'Детский сад 'Соколенок', с.Цилитль;19;
МКДОУ 'Детский сад 'Солнышко', с.Мехельта;140;
МКДОУ 'Детский сад 'Улыбка', с.Н.Инхо;41;
МКДОУ 'Детский сад 'Чебурашка', с. Килятль;49;
МКДОУ  Детский сад № 2, с. Бухты;23;
МКДОУ Детский сад № 3, с.Гуниб;92;
МКДОУ Детский сад №1, с.Бацада;46;
МКДОУ Детский сад №10, с.Мегеб;35;
МКДОУ Детский сад №12, с. Ругуджа;20;
МКДОУ Детский сад №13, с.Салта;11;
МКДОУ Детский сад №15, с.Согратль;37;
МКДОУ детский сад №16, с. Унты;15;
МКДОУ Детский сад №17, с. Хиндах;67;
МКДОУ Детский сад №18, с.Хоточ;61;
МКДОУ Детский сад №19, с. Чох;22;
МКДОУ Детский сад №20' с.Чох-Коммуна;33;
МКДОУ Детский сад №21, с. Шулани;21;
МКДОУ Детский сад №4, с. Гонода;30;
МКДОУ Детский сад №5, с. Кегер;18;
МКДОУ Детский сад №6, с.Корода;35;
МКДОУ Детский сад №7, с. Кудали;22;
МКДОУ Детский сад №8, с.Нижний Гуниб;35;
МКДОУ Детский сад №9, с.Нижний Кегер;15;
 МКОУ «Ирагинская  СОШ» (гкп);20;
 МКОУ «Калкнинская  СОШ» (гкп);20;
 МКОУ «Морская СОШ» (гкп);21;
 МКОУ 'Дибгашинская СОШ' (гкп);14;
 МКОУ 'Новоуркарахская СОШ' (гкп);16;
 МКОУ 'Трисанчинская СОШ' (гкп);20;
МБДОУ 'Кищинский детский сад 'Радуга';70;
МБДОУ 'Меусишинская НОШ -ДС';65;
МБДОУ ОВ  'Детский сад  'Солнышко';150;
МБДОУ ОВ 'Детский сад №1';52;
МБДОУ ОВ 'Детский сад №2';69;
МКДОУ 'Детский ясли-сад №2', с. Уркарах;69;
МКДОУ ДС №1 с. Уркарах;52;
МКДОУ Кубачинская школа-сад (НОШ), пгт. Кубачи;40;
МКДОУ ОВ 'Детский сад 'Солнышко' с. Уркарах ;150;
МКДОУ 'Олимп', с.Меусеша  ;65;
МКДОУ 'Радуга', с.Кища;70;
МКОУ 'Уркарахсая начальная школа - детский сад им. Р.Рамазанова' ;62;
МБДОУ 'Детский сад Малыш', с. Хазар;85;
МБДОУ ДС №1 с.Хазар;202;
МБДОУ ДС 'Сказка', пгт. Мамедкала (40 м.) ;67;
МКДОУ Детский сад  с. Татляр;92;
МКДОУ ДС  'Юлдуз',  пгт.Мамедкала;174;
МКДОУ ДС №1 'Росинка', с.Берикей;159;
МКДОУ ДС №1 Улыбка, с.Геджух;193;
МКДОУ ДС №2 Ягодка, с.Геджух;215;
МКДОУ ДС 'Айгюн', с. Белиджи ;115;
МКДОУ ДС Алёна, пгт. Белиджи;52;
МКДОУ ДС 'Звездочка', с. Сабнова' ;101;
МКДОУ ДС им. Бабаева Г.О., с.Салик;158;
МКДОУ ДС 'Клубничка' с.Уллутеркеме;76;
МКДОУ ДС 'Колосок', с.Деличобан;91;
МКДОУ ДС 'Ласточка', с.Джемикент;90;
МКДОУ ДС 'Ласточка', с.Чинар;159;
МКДОУ ДС с. Великент;74;
МКДОУ ДС 'Севиндж', с.Падар ;92;
МКДОУ ДС 'Солнышко', с.Кала;82;
МКДОУ ДС Чебурашка, пгт. Белиджи;78;
МКОУ «Школа-сад им.Курбанова С.Д», с.Н.Джалган;84;
МКОУ «Микрахказмалярская СОШ» (гкп) деят. приост.;0;
МКДОУ «Венера», с.Микрах (деят. приост.);0;
МКДОУ «Звездочка», с. Авадан  на кап. рем.;0;
 МКОУ 'Аваданская СОШ' (гкп);51;
 МКОУ 'Каракюринская СОШ' (гкп);11;
 МКОУ 'Курушская СОШ' (гкп);13;
МКДОУ  Детский сад «Аленушка», с.Новокаракюре;79;
МКДОУ  Детский сад 'Бахча' с. Килер;101;
МКДОУ Детский сад «Солнышко», с.Мискинджа;60;
МКДОУ Детский сад Ласточка (с.Усухчай) ;111;
МКОУ «Гертминская СОШ им. Абдулмуслимова М.А.» (ГКП) реконстр.;14;
 МКОУ «Калининаульская СОШ имени Героя России Гайирханова М.М.» (ГКП);34;
 МКОУ «Ленинаульская  СОШ №1  имени Героя СССР Х.Нурадилова» (гкп);34;
 МКОУ 'Гимназия Культуры мира', с.Гуни (гкп);13;
МКДОУ Д/с №1 'Ромашка', пгт.Дубки;160;
МКДОУ 'Д/с №2 Солнышко', пгт.Дубки;143;
МКДОУ 'Д/с 'Колокольчик', Калининаул;205;
МКДОУ 'Д/с 'Ласточка', с.Хубар;80;
МКДОУ 'Д/с 'Лачен', с.Гертма;80;
МКДОУ 'Д/с общеразвивающего вида №2 Светлячок', с.Дылым;166;
МКДОУ 'Д/с 'Солнышко', с.Инчха;135;
МКДОУ Д/с 'Улыбка', с.Гуни;143;
МКДОУ 'Д/с 'Чебурашка', с.Ленинаул;170;
МКДОУ 'Детский сад  'Колобок', с.Алмак;75;
МКДОУ 'Детский сад имени  Гаджи Махачева';70;
МКДОУ 'Детский сад 'Радуга', с.Ленинаул ;255;
МКДОУ 'ЦРР - Д/с №1 'Сказка', с.Дылым;292;
МКДОУ 'ЦРР -Детский сад №3 'Журавушка', с.Дылым;292;
МКОУ 'Сурхачинская СОШ' (ГКП) деят. приост.;0;
МКДОУ ДС №1  'Улыбка', с. Маджалис;119;
МКДОУ ДС №2 'Родничок', с.Маджалис;148;
МКДОУ ДС №3 'Ручеек', с.Маджалис;146;
МКДОУ ДС №4 'Светлячок', с. Янгикент;22;
МКДОУ ДС №5 'Ромашка', с.Маджалис +;132;
МКДОУ ДС №1 Солнышко, с.Карабудахкент (кап.рем.);19;
МБДОУ Детский сад №10 'Чебурашка', пгт.Манас;196;
МБДОУ Детский сад №11 'Ласточка', с.Манаскент;126;
МБДОУ 'Детский сад №18 'Ясмина', с. Н.Параул;120;
МБДОУ 'Детский сад №20 'Счастливый малыш', с.Агачаул;120;
МБДОУ 'Детский сад №22 'Замок детства', с.Гурбуки ;150;
МБДОУ 'Детский сад №23 'Страна чудес', с.Гурбуки ;150;
МБДОУ Детский сад №25 'Аистенок', с.Карабудахкент ;;
МБДОУ Детский сад №3 'Бекенез', с.Карабудахкент;283;
МБДОУ Детский сад №4 'Улыбка', с.Какашура;126;
МБДОУ Детский сад №6 'Теремок', с.Доргели;120;
МБДОУ Детский сад №7 'Ласточка', с.Параул;118;
МБДОУ Детский сад №8 'Ручеек', с.Гели;135;
МБДОУ ДС №12 Фиалка, с.Уллубийаул;255;
МБДОУ ДС №13 'Родничок', с.Гурбуки;80;
МБДОУ ДС №14 'Сказка', с.Карабудахкент;89;
МБДОУ ДС №15  'Счастливое детство', пгт.Ачису;83;
МБДОУ ДС №15 'Звездочка', с.Агачаул;70;
МБДОУ ДС №16 'Золушка', с.Карабудахкент;69;
МБДОУ ДС №17 'Анжи',  с.Губден;60;
МБДОУ ДС №19 'Карапуз', с. Манаскент ;90;
МБДОУ ДС №2 Юлдуз, с.Карабудахкент;254;
МБДОУ ДС №21 'Волшебник', с.Губден  ;60;
МБДОУ ДС №5 Лачин, с.Зеленоморск;82;
МБДОУ ДС №9 Ромашка, пгт.Манас;62;
МБОУ 'Гергинская СОШ' (ГКП) деят.приост.;15;
МБОУ 'Дружбинская СОШ' (ГКП) деят. приост.;0;
МБОУ 'Новокаякентская СОШ' (ГКП) деят. приостан;0;
 МБОУ 'Каякентская СОШ № 1' (гкп);15;
МБДОУ №1 с.Алходжакент;67;
МБДОУ №2 с.Алходжакент;35;
МБДОУ 'Детский сад 'Радуга', с.Первомайское  ;193;
МБДОУ с. Герга;59;
МБДОУ с. Дружба;196;
МБДОУ с. Первомайское;114;
МБДОУ с. Утамыш;39;
МБДОУ с.Башлыкент;132;
МБДОУ с.Усемикент;117;
МБДОУ Соколенок с.Каранайаул;177;
МБДОУ 'Солнышко', с.Каякент ;263;
МБДОУ Чебурашка с.Новокаякент;238;
МБДОУ Юлдуз с.Каякент;455;
МБОУ Новокаякентская начальная школа-детский сад;84;
МКДОУ 'Василек', с. Кульзеб  ;;
МКДОУ 'Детский сад 'Дюймовочка', с.Султанянгиюрт;212;
МКДОУ 'Детский сад общеразвивающего вида  'Ветерок' с.Новочиркей ;105;
МКДОУ 'Детский сад общеразвивающего вида  'Звездочка', с.Нечаевка;84;
МКДОУ 'Детский сад общеразвивающего вида 'Малыш', с.Чонтаул;51;
МКДОУ 'Детский сад общеразвивающего вида 'Радуга', с. Кироваул;53;
МКДОУ 'Детский сад общеразвивающего вида 'Сказка' с.Стальское;103;
МКДОУ 'Детский сад общеразвивающего вида 'Соколенок', с.Комсомольское;90;
